group_label,run_id,scenario_id,model_name,deterministic_match_count,deterministic_mismatch_count,deterministic_not_found_count,deterministic_review_count,reference_source,reference_text_preview,candidate_source,candidate_text_preview,bertscore_precision,bertscore_recall,bertscore_f1,bertscore_model,rescale_with_baseline,notes
MATCH-heavy,1,CM_APSIDAL_001,Gemma 3 12B IT,4,0,0,0,/Users/upigdir/Desktop/Pipeline/Scenarios to Run/worked_solutions_batch*.md,**Derivation** 1. **Closed cases.** Kepler n = −2: Φ = π/√(3−2) = π/√1 = **180°**. Harmonic n = +1: Φ = π/√(3+1) = π/2 = **90°**. Both are rational fractions of π ⟹ orbits close. 2. **n = −1.** Φ = π/√(3−1) = π/√2 = **127.28°**. 3. **Not closed.** For n = −...,questions.answer,"Okay, let's analyze the central-force motion and apsidal angles. **1. Verification for Kepler (n = -2) and Harmonic (n = +1)** The given formula for the apsidal angle is $\Phi = \pi/\sqrt{3+n}$. For $n = -2$ (Kepler): $\Phi = \pi/\sqrt{3+(-2)} = \pi/\sqrt{1...",-0.10924582928419113,0.09201997518539429,-0.009021522477269173,unknown,True,full answer scored
MATCH-heavy,2,CM_APSIDAL_001,Gemma 3 12B IT,4,0,0,0,/Users/upigdir/Desktop/Pipeline/Scenarios to Run/worked_solutions_batch*.md,**Derivation** 1. **Closed cases.** Kepler n = −2: Φ = π/√(3−2) = π/√1 = **180°**. Harmonic n = +1: Φ = π/√(3+1) = π/2 = **90°**. Both are rational fractions of π ⟹ orbits close. 2. **n = −1.** Φ = π/√(3−1) = π/√2 = **127.28°**. 3. **Not closed.** For n = −...,questions.answer,"Okay, let's analyze the central-force motion and apsidal angles. **1. Verification for n = -2 (Kepler) and n = +1 (Harmonic)** The given formula for the apsidal angle is $\Phi = \pi/\sqrt{3+n}$. For $n = -2$ (Kepler): $\Phi = \pi / \sqrt{3 + (-2)} = \pi / \...",-0.1731070876121521,0.05981266871094704,-0.05770030990242958,unknown,True,full answer scored
MATCH-heavy,4,CM_APSIDAL_001,Gemma 3 12B IT,4,0,0,0,/Users/upigdir/Desktop/Pipeline/Scenarios to Run/worked_solutions_batch*.md,**Derivation** 1. **Closed cases.** Kepler n = −2: Φ = π/√(3−2) = π/√1 = **180°**. Harmonic n = +1: Φ = π/√(3+1) = π/2 = **90°**. Both are rational fractions of π ⟹ orbits close. 2. **n = −1.** Φ = π/√(3−1) = π/√2 = **127.28°**. 3. **Not closed.** For n = −...,questions.answer,"Okay, let's analyze the central-force motion and apsidal angles. **1. Verification for n = -2 (Kepler) and n = +1 (Harmonic)** The given formula for the apsidal angle is $\Phi = \pi/\sqrt{3+n}$. For $n = -2$ (Kepler): $\Phi = \pi / \sqrt{3 + (-2)} = \pi / \...",-0.17235112190246582,0.0647909864783287,-0.054937876760959625,unknown,True,full answer scored
MATCH-heavy,5,CM_APSIDAL_001,Gemma 3 27B IT,4,0,0,0,/Users/upigdir/Desktop/Pipeline/Scenarios to Run/worked_solutions_batch*.md,**Derivation** 1. **Closed cases.** Kepler n = −2: Φ = π/√(3−2) = π/√1 = **180°**. Harmonic n = +1: Φ = π/√(3+1) = π/2 = **90°**. Both are rational fractions of π ⟹ orbits close. 2. **n = −1.** Φ = π/√(3−1) = π/√2 = **127.28°**. 3. **Not closed.** For n = −...,questions.answer,Let's analyze the apsidal angle for a central force $F(r) = -k r^{n}$. The apsidal angle $\Phi$ is given by $\Phi = \pi/\sqrt{3+n}$. 1. **Verification against closed-orbit cases:** * **Kepler (n = -2):** $\Phi = \pi/\sqrt{3 + (-2)} = \pi/\sqrt{1} = \pi$ rad...,-0.15549002587795258,0.06836289167404175,-0.044419653713703156,unknown,True,full answer scored
MATCH-heavy,6,CM_APSIDAL_001,Gemma 3 27B IT,4,0,0,0,/Users/upigdir/Desktop/Pipeline/Scenarios to Run/worked_solutions_batch*.md,**Derivation** 1. **Closed cases.** Kepler n = −2: Φ = π/√(3−2) = π/√1 = **180°**. Harmonic n = +1: Φ = π/√(3+1) = π/2 = **90°**. Both are rational fractions of π ⟹ orbits close. 2. **n = −1.** Φ = π/√(3−1) = π/√2 = **127.28°**. 3. **Not closed.** For n = −...,questions.answer,Let's analyze the apsidal angle for a central force $F(r) = -k r^{n}$. The apsidal angle $\Phi$ is given by $\Phi = \pi/\sqrt{3+n}$. 1. **Verification against closed-orbit cases:** * **Kepler (n = -2):** $\Phi = \pi/\sqrt{3 + (-2)} = \pi/\sqrt{1} = \pi$ rad...,-0.14392562210559845,0.0982985869050026,-0.02412731945514679,unknown,True,full answer scored
MATCH-heavy,7,CM_APSIDAL_001,Gemma 4 31B IT,4,0,0,0,/Users/upigdir/Desktop/Pipeline/Scenarios to Run/worked_solutions_batch*.md,**Derivation** 1. **Closed cases.** Kepler n = −2: Φ = π/√(3−2) = π/√1 = **180°**. Harmonic n = +1: Φ = π/√(3+1) = π/2 = **90°**. Both are rational fractions of π ⟹ orbits close. 2. **n = −1.** Φ = π/√(3−1) = π/√2 = **127.28°**. 3. **Not closed.** For n = −...,questions.answer,"### Derivation and Analysis The apsidal angle $\Phi$ is the angle swept by the particle between the minimum radius (perihelion) and maximum radius (aphelion). For nearly circular orbits in a central force $F(r) = -k r^n$, the formula is given as: $$\Phi = \...",-0.2885371446609497,0.0047172680497169495,-0.14452588558197021,unknown,True,full answer scored
MATCH-heavy,8,CM_APSIDAL_001,Gemma 4 31B IT,4,0,0,0,/Users/upigdir/Desktop/Pipeline/Scenarios to Run/worked_solutions_batch*.md,**Derivation** 1. **Closed cases.** Kepler n = −2: Φ = π/√(3−2) = π/√1 = **180°**. Harmonic n = +1: Φ = π/√(3+1) = π/2 = **90°**. Both are rational fractions of π ⟹ orbits close. 2. **n = −1.** Φ = π/√(3−1) = π/√2 = **127.28°**. 3. **Not closed.** For n = −...,questions.answer,"To analyze the stability and apsidal angles of nearly circular orbits under a central force $F(r) = -k r^n$, we use the provided formula for the apsidal angle $\Phi$: $$\Phi = \frac{\pi}{\sqrt{3+n}}$$ The apsidal angle $\Phi$ is the angle swept by the parti...",-0.24137604236602783,0.003168662777170539,-0.12037878483533859,unknown,True,full answer scored
MATCH-heavy,10,CM_APSIDAL_001,Granite 4.1 8B,4,0,0,0,/Users/upigdir/Desktop/Pipeline/Scenarios to Run/worked_solutions_batch*.md,**Derivation** 1. **Closed cases.** Kepler n = −2: Φ = π/√(3−2) = π/√1 = **180°**. Harmonic n = +1: Φ = π/√(3+1) = π/2 = **90°**. Both are rational fractions of π ⟹ orbits close. 2. **n = −1.** Φ = π/√(3−1) = π/√2 = **127.28°**. 3. **Not closed.** For n = −...,questions.answer,"To verify the given formula for the apsidal angle \(\Phi = \frac{\pi}{\sqrt{3+n}}\) for different values of \(n\) and to address the subsequent tasks, we proceed as follows: ### 1. Verification for Closed-Orbit Cases **Keplerian case (\(n = -2\)):** \[ \Phi...",-0.342684805393219,-0.09455441683530807,-0.2198917120695114,unknown,True,full answer scored
MATCH-heavy,11,CM_APSIDAL_001,Granite 4.1 8B,4,0,0,0,/Users/upigdir/Desktop/Pipeline/Scenarios to Run/worked_solutions_batch*.md,**Derivation** 1. **Closed cases.** Kepler n = −2: Φ = π/√(3−2) = π/√1 = **180°**. Harmonic n = +1: Φ = π/√(3+1) = π/2 = **90°**. Both are rational fractions of π ⟹ orbits close. 2. **n = −1.** Φ = π/√(3−1) = π/√2 = **127.28°**. 3. **Not closed.** For n = −...,questions.answer,"To verify the given formula for the apsidal angle \(\Phi = \frac{\pi}{\sqrt{3+n}}\) for different values of the force exponent \(n\), we proceed as follows: ### 1. Verification for Closed-Orbit Cases **Keplerian case (\(n = -2\)):** \[ \Phi = \frac{\pi}{\sq...",-0.3484979569911957,-0.07371403276920319,-0.21312089264392853,unknown,True,full answer scored
MATCH-heavy,25,CM_APSIDAL_001,Mistral Small 3.2 24B Instruct,4,0,0,0,/Users/upigdir/Desktop/Pipeline/Scenarios to Run/worked_solutions_batch*.md,**Derivation** 1. **Closed cases.** Kepler n = −2: Φ = π/√(3−2) = π/√1 = **180°**. Harmonic n = +1: Φ = π/√(3+1) = π/2 = **90°**. Both are rational fractions of π ⟹ orbits close. 2. **n = −1.** Φ = π/√(3−1) = π/√2 = **127.28°**. 3. **Not closed.** For n = −...,questions.answer,"To analyze the stability of near-circular orbits and the apsidal angles in central-force motion, we start by considering the given central force \( F(r) = -k r^{n} \). The apsidal angle \(\Phi\) for nearly circular orbits is given by \(\Phi = \pi/\sqrt{3+n}...",-0.32483533024787903,-0.00414989423006773,-0.1679733693599701,unknown,True,full answer scored
