batch,scenario_id,category,model_name,deterministic_grade,extraction_status,helper_status,bert_precision,bert_recall,bert_f1,candidate_text_length_chars,reference_text_length_chars,source_run_id,reference_source,candidate_source,candidate_text_hash,reference_text_hash
V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 3 12B IT,PASS,OK,OK,0.4430182874202728,0.8641125559806824,0.6462164521217346,805,629,683d993d-776a-4d0a-8d7b-5f3955ff7ec2,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,5ac516e7bd697692f164877ef3b642aa828080a1254609f028c96f57a9d2d61b,1767d8ebb9b9441692c5d16eb8aea1b33ceb0de3a0d00f1c93a7fde3d6b8cf30
V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 3 27B IT,PASS,OK,OK,0.45347264409065247,0.8819978833198547,0.6601020693778992,824,629,b77ca7e5-2054-47cf-8b2a-f0522502ecbe,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,3fe476dd33c11abff875a9752fcaf623fb338aa6214930f0255e2de0607f100f,1767d8ebb9b9441692c5d16eb8aea1b33ceb0de3a0d00f1c93a7fde3d6b8cf30
V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 4 31B IT,PASS,OK,OK,-0.02330923080444336,0.5638331174850464,0.25492924451828003,1042,629,98f3c8aa-7662-449d-8bc9-789db679a7b5,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,1523082347383078351d3339188323fb0b62a468e4ff5431c54b00990bd3b8e9,1767d8ebb9b9441692c5d16eb8aea1b33ceb0de3a0d00f1c93a7fde3d6b8cf30
V2,CM_FOUCAULT_001,Classical Mechanics,Granite 4.1 8B,PASS,OK,OK,-0.21662811934947968,0.3795681595802307,0.06529010832309723,1516,629,6a439759-2c09-40f5-b714-5f0905b08611,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,e9b845e0f90b50b963f1a74ff4a6cdec81ba78557f0183270d302f99cbfe30ce,1767d8ebb9b9441692c5d16eb8aea1b33ceb0de3a0d00f1c93a7fde3d6b8cf30
V2,CM_FOUCAULT_001,Classical Mechanics,Llama 3.1 8B Instruct,PASS,OK,OK,0.06785153597593307,0.3400599956512451,0.20165619254112244,1152,629,43b57069-ea6b-42b1-9339-b978dcf9ad74,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,ad9338a6825785d88dfd41c0f89892f774cef2cebd819f5b78f550c4facf7881,1767d8ebb9b9441692c5d16eb8aea1b33ceb0de3a0d00f1c93a7fde3d6b8cf30
V2,CM_FOUCAULT_001,Classical Mechanics,Ministral 3 8B,PASS,OK,OK,0.43108174204826355,0.834453821182251,0.6260781288146973,813,629,981eba36-7bcf-427e-9a83-c05551b36c90,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,035e0d9674bcf99c30ce1cdd6b88a99679befc0b350aec8f4e0c5ecfb05b2d8a,1767d8ebb9b9441692c5d16eb8aea1b33ceb0de3a0d00f1c93a7fde3d6b8cf30
V2,CM_FOUCAULT_001,Classical Mechanics,Mistral NeMo 12B,FAIL,OK,OK,0.41377171874046326,0.8094645738601685,0.6052108407020569,821,629,78db6adf-408e-49e7-8f70-5a4c3fe210ad,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,ff0cfd76575ecd4858f6bd7ece6be8be9b5b67e16d6ac64579ccb0a784c85eca,1767d8ebb9b9441692c5d16eb8aea1b33ceb0de3a0d00f1c93a7fde3d6b8cf30
V2,CM_FOUCAULT_001,Classical Mechanics,Mistral Small 3.2 24B Instruct,PASS,OK,OK,0.4911854565143585,0.9066323041915894,0.6917591691017151,809,629,87d3ed82-6adb-40f0-8db1-efb66f5207f4,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,c887656bd61914f0fa44a753447183a76ffef2afa80bf5a136f6b58a539c7d23,1767d8ebb9b9441692c5d16eb8aea1b33ceb0de3a0d00f1c93a7fde3d6b8cf30
V2,COS_CMB_001,Cosmology,Gemma 3 12B IT,PASS,OK,OK,0.4466003477573395,0.8732142448425293,0.6523487567901611,770,566,f7f12cfe-6b34-4c5b-8af3-5337de7fb235,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,0f939655d6583721a03d498aa6b068733564b3c7a2b1a582699cdb88a1f1b052,15fa951506f03a9eb5ed2c28484327b4435b62e9a96bdf4c0734021e007bd80b
V2,COS_CMB_001,Cosmology,Gemma 3 27B IT,PASS,OK,OK,0.4279995262622833,0.8677159547805786,0.639793872833252,776,566,45f12cf7-3772-421a-8998-b0b7ff23252b,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,10f12a957fec57f57ce5e1193bb857a4b46163f99097484d140af82ba6543db6,15fa951506f03a9eb5ed2c28484327b4435b62e9a96bdf4c0734021e007bd80b
V2,COS_CMB_001,Cosmology,Gemma 4 31B IT,PASS,OK,OK,0.4181012809276581,0.8660955429077148,0.6337063908576965,809,566,c15d63d9-68db-48a3-85f1-9600fff091ee,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,f2a13e75cc682254b12d490a04e8d64db34093ac55c8fd25e44aeda718f0c121,15fa951506f03a9eb5ed2c28484327b4435b62e9a96bdf4c0734021e007bd80b
V2,COS_CMB_001,Cosmology,Granite 4.1 8B,PASS,OK,OK,-0.22736652195453644,0.0826399177312851,-0.07554664462804794,1719,566,33b7ba26-8ce1-4c4c-aadf-b13a0800ceed,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,768846cae986ebc7822db4fadd5b6455853c7eaa32e4bb99cbeeddb362f982d8,15fa951506f03a9eb5ed2c28484327b4435b62e9a96bdf4c0734021e007bd80b
V2,COS_CMB_001,Cosmology,Llama 3.1 8B Instruct,FAIL,OK,OK,0.4600948095321655,0.850355863571167,0.6489930152893066,736,566,a3752b06-d12a-4b6f-b533-06abdc5a4a2d,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,775ba6f98f3d8232656cdf161e5e0f66f4a0dd914550ba4fb288eae1b709877e,15fa951506f03a9eb5ed2c28484327b4435b62e9a96bdf4c0734021e007bd80b
V2,COS_CMB_001,Cosmology,Ministral 3 8B,PASS,OK,OK,0.07002320140600204,0.4511312246322632,0.25480917096138,950,566,ea1562a8-ce25-46ef-96c3-4ea66084be94,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,f56af472786d95c3bd4f5ea8a472da8f13b4fdda2085827b76569f1cb2e5be13,15fa951506f03a9eb5ed2c28484327b4435b62e9a96bdf4c0734021e007bd80b
V2,COS_CMB_001,Cosmology,Mistral NeMo 12B,FAIL,OK,OK,0.5011258125305176,0.9197264909744263,0.7031574845314026,748,566,5bde406e-bcbd-4d75-9974-030635a1f45a,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,a0ff0c7f422302c3e07c1e48e3561fb43c227be12f5f480d2eb6318c3474638f,15fa951506f03a9eb5ed2c28484327b4435b62e9a96bdf4c0734021e007bd80b
V2,COS_CMB_001,Cosmology,Mistral Small 3.2 24B Instruct,FAIL,OK,OK,0.4543874263763428,0.8650276064872742,0.6527453660964966,742,566,2d1f22bc-291c-4722-88c7-cc1fed3ce53d,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,eb96fb8f8ba4cca72ca2f9c3ab3d8d2305ac10465423a01c962b4a75f7c2dbbc,15fa951506f03a9eb5ed2c28484327b4435b62e9a96bdf4c0734021e007bd80b
V2,GR_ISCO_001,General Relativity,Gemma 3 12B IT,FAIL,OK,OK,0.3137771487236023,0.7099007368087769,0.505449652671814,1085,734,0891d888-672d-4f87-bc31-5a40a8dfdd32,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,4940927968c4a3063874dda971507624a2a56d7dbc60e256bddb441ba9cf2b76,5813c13e68ccf339d7167a4eef853a7c550bb94cf37311d9a7f6666e9a16cfc6
V2,GR_ISCO_001,General Relativity,Gemma 3 27B IT,FAIL,OK,OK,0.49203869700431824,0.8194261789321899,0.651512861251831,922,734,a043fef4-92a9-4e39-8b94-4099ce5d7bd8,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,105687e2fa80e0e72962d8fbe7024876ea3323435fc9334add2a966aff566d78,5813c13e68ccf339d7167a4eef853a7c550bb94cf37311d9a7f6666e9a16cfc6
V2,GR_ISCO_001,General Relativity,Gemma 4 31B IT,FAIL,OK,OK,0.5133492350578308,0.8459427952766418,0.6752552390098572,906,734,e4d58dfa-4086-43b4-a5bf-1f9bec6c2599,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,47c17513a71ab7b7954867ef52a6adb3a600199269c447b023e4b3c16addb0cd,5813c13e68ccf339d7167a4eef853a7c550bb94cf37311d9a7f6666e9a16cfc6
V2,GR_ISCO_001,General Relativity,Granite 4.1 8B,FAIL,OK,OK,-0.5096320509910583,-0.08812122792005539,-0.3063206672668457,3081,734,40dd5ad7-5daa-4765-ad81-b279dda17267,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,bee5d009db1e504bee7f14d64cda7c1e106eb1126afd0e07815ff6609bea2731,5813c13e68ccf339d7167a4eef853a7c550bb94cf37311d9a7f6666e9a16cfc6
V2,GR_ISCO_001,General Relativity,Llama 3.1 8B Instruct,FAIL,OK,OK,0.06087985262274742,0.08223100751638412,0.07304166257381439,1351,734,12ba6901-ab09-4608-812d-243a3ba8cb47,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,498fa69d62af69fe7f154cb94dc7575a4f2feb18e6c68657590a1772d88455a0,5813c13e68ccf339d7167a4eef853a7c550bb94cf37311d9a7f6666e9a16cfc6
V2,GR_ISCO_001,General Relativity,Ministral 3 8B,FAIL,OK,OK,-0.2069767862558365,0.17832447588443756,-0.020199451595544815,1532,734,6a0624c3-57f8-4327-8206-731c8c16e32e,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,d5a315f6b04ab21b34edd4db003b856dc7f68891ab24a6c6a6e2c58abde23507,5813c13e68ccf339d7167a4eef853a7c550bb94cf37311d9a7f6666e9a16cfc6
V2,GR_ISCO_001,General Relativity,Mistral NeMo 12B,FAIL,OK,OK,0.5249122381210327,0.8334651589393616,0.6754833459854126,892,734,afe1c751-3c98-4578-aee5-2bc6938397b8,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,ebaf60390c7249eea60a7661cd1b7c5dbbb14cb34f86d80d73e62dc0a9c9e72b,5813c13e68ccf339d7167a4eef853a7c550bb94cf37311d9a7f6666e9a16cfc6
V2,GR_ISCO_001,General Relativity,Mistral Small 3.2 24B Instruct,FAIL,OK,OK,0.44323939085006714,0.7839257121086121,0.6089956760406494,930,734,ab92bfee-92d9-4fbc-b33c-4d25777badf5,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,70fac7e80ef150e18afc19dc98ea363febea22b7f26d9c7214dad0d980267329,5813c13e68ccf339d7167a4eef853a7c550bb94cf37311d9a7f6666e9a16cfc6
V2,QI_TELEPORT_001,Quantum Information Theory,Gemma 3 12B IT,PASS,OK,OK,0.5050294399261475,0.8910712599754333,0.69194495677948,767,603,30ac6932-dc57-4cf3-bf98-468533408eb0,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,e45524c11c916de316ed27e51e8514bf48db359649fe1698b0dfc6a3f1740ffa,861afe4ca2c51dac27828132c6579a0d6f41bf339550e3455ca2d00c543f9883
V2,QI_TELEPORT_001,Quantum Information Theory,Gemma 3 27B IT,PASS,OK,OK,0.4569963216781616,0.8237186074256897,0.6349283456802368,753,603,7c096d8f-6286-4837-bb5c-38e6df0e6b56,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,873650fce856a4b94d566aebee5b595b3f454d716b06c213efad331c499bec9d,861afe4ca2c51dac27828132c6579a0d6f41bf339550e3455ca2d00c543f9883
V2,QI_TELEPORT_001,Quantum Information Theory,Gemma 4 31B IT,PASS,OK,OK,0.48511195182800293,0.8924444317817688,0.681927502155304,776,603,42445057-c8f5-4253-80d2-5a671b2f970e,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,6317c101441a9638c545a02d858506eeb107c9e966d1c6e67148d591a836f1b1,861afe4ca2c51dac27828132c6579a0d6f41bf339550e3455ca2d00c543f9883
V2,QI_TELEPORT_001,Quantum Information Theory,Granite 4.1 8B,PASS,OK,OK,-0.11171889305114746,0.3624804615974426,0.11572164297103882,1486,603,b82bd97e-a127-4a93-adc1-3fd1abd73acc,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,3bf729112e673695c1c95f4a5656eab88ab86fa0003dd537ccf57a98c3bf7254,861afe4ca2c51dac27828132c6579a0d6f41bf339550e3455ca2d00c543f9883
V2,QI_TELEPORT_001,Quantum Information Theory,Llama 3.1 8B Instruct,PASS,OK,OK,0.4784558117389679,0.8327191472053528,0.6505508422851562,769,603,ba60237f-f38f-49a1-aff7-f714152bab19,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,10413c6def18293203b78438d9a834f633306d60dca671f0b400071cd0ff4192,861afe4ca2c51dac27828132c6579a0d6f41bf339550e3455ca2d00c543f9883
V2,QI_TELEPORT_001,Quantum Information Theory,Ministral 3 8B,FAIL,OK,OK,0.45368310809135437,0.8716514706611633,0.6554336547851562,788,603,9584a665-3773-4c3a-a6fd-e7fe2777cbbb,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,ea140fc35dd90cd06e0026d93c2bab5e10ba9bdd70e6fa1ee76109750900be1c,861afe4ca2c51dac27828132c6579a0d6f41bf339550e3455ca2d00c543f9883
