batch,scenario_id,category,model_name,deterministic_grade,extraction_status,helper_status,bert_precision,bert_recall,bert_f1,candidate_full_text_length_chars,candidate_no_final_text_length_chars,reference_full_text_length_chars,reference_no_final_text_length_chars,candidate_removed_chars,reference_removed_chars,final_block_removed_candidate,final_block_removed_reference,source_run_id,reference_source,candidate_source,candidate_no_final_text_hash,reference_no_final_text_hash
V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 3 12B IT,PASS,OK,OK,0.9347021579742432,0.9223037362098694,0.9286125302314758,805,619,629,629,186,0,True,False,683d993d-776a-4d0a-8d7b-5f3955ff7ec2,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,c3f69c3e49487f18e2196569a4ce8b895a5d0031d2732ef3005a15de68068442,1767d8ebb9b9441692c5d16eb8aea1b33ceb0de3a0d00f1c93a7fde3d6b8cf30
V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 3 27B IT,PASS,OK,OK,0.9491811394691467,0.9588618278503418,0.9540925025939941,824,637,629,629,187,0,True,False,b77ca7e5-2054-47cf-8b2a-f0522502ecbe,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,b0021dbe13c025a8a149a542b8272ac3f6e7fd72d4c7a00555d57e3bbb674532,1767d8ebb9b9441692c5d16eb8aea1b33ceb0de3a0d00f1c93a7fde3d6b8cf30
V2,CM_FOUCAULT_001,Classical Mechanics,Gemma 4 31B IT,PASS,OK,OK,0.1746271401643753,0.5848821997642517,0.3728666305541992,1042,858,629,629,184,0,True,False,98f3c8aa-7662-449d-8bc9-789db679a7b5,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,adbce12ad2de7d781f9b4f5879eabc67a2ec95823021ad61b692e0b1b3ce8c9a,1767d8ebb9b9441692c5d16eb8aea1b33ceb0de3a0d00f1c93a7fde3d6b8cf30
V2,CM_FOUCAULT_001,Classical Mechanics,Granite 4.1 8B,PASS,OK,OK,-0.21662811934947968,0.3795681595802307,0.06529010832309723,1516,1334,629,629,182,0,True,False,6a439759-2c09-40f5-b714-5f0905b08611,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,f5bb631e52ff7dbbb0060b36658729cb6b3dbf34d2f3adc96efecf3e3e7f70ce,1767d8ebb9b9441692c5d16eb8aea1b33ceb0de3a0d00f1c93a7fde3d6b8cf30
V2,CM_FOUCAULT_001,Classical Mechanics,Llama 3.1 8B Instruct,PASS,OK,OK,0.06785153597593307,0.3400599956512451,0.20165619254112244,1152,1152,629,629,0,0,False,False,43b57069-ea6b-42b1-9339-b978dcf9ad74,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,ad9338a6825785d88dfd41c0f89892f774cef2cebd819f5b78f550c4facf7881,1767d8ebb9b9441692c5d16eb8aea1b33ceb0de3a0d00f1c93a7fde3d6b8cf30
V2,CM_FOUCAULT_001,Classical Mechanics,Ministral 3 8B,PASS,OK,OK,0.8872962594032288,0.907946765422821,0.8977698683738708,813,631,629,629,182,0,True,False,981eba36-7bcf-427e-9a83-c05551b36c90,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,91468bb0917cd3303bd510b88fae185bb9ad8c10d101fbf6ca8f436b9a22cee8,1767d8ebb9b9441692c5d16eb8aea1b33ceb0de3a0d00f1c93a7fde3d6b8cf30
V2,CM_FOUCAULT_001,Classical Mechanics,Mistral NeMo 12B,FAIL,OK,OK,0.8637772798538208,0.8761879801750183,0.870187520980835,821,637,629,629,184,0,True,False,78db6adf-408e-49e7-8f70-5a4c3fe210ad,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,c45a5f9b521c8f6ac024e1aeb09310324a104e4a7de53cb1bc7632cf2cd78547,1767d8ebb9b9441692c5d16eb8aea1b33ceb0de3a0d00f1c93a7fde3d6b8cf30
V2,CM_FOUCAULT_001,Classical Mechanics,Mistral Small 3.2 24B Instruct,PASS,OK,OK,0.9805600643157959,0.9805614352226257,0.9805923104286194,809,628,629,629,181,0,True,False,87d3ed82-6adb-40f0-8db1-efb66f5207f4,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,42340f72a9387508931df73cd01d987e6603ba6e6ef4f4ff893a62e468f1186e,1767d8ebb9b9441692c5d16eb8aea1b33ceb0de3a0d00f1c93a7fde3d6b8cf30
V2,COS_CMB_001,Cosmology,Gemma 3 12B IT,PASS,OK,OK,0.873145580291748,0.9146657586097717,0.8940048217773438,770,584,566,566,186,0,True,False,f7f12cfe-6b34-4c5b-8af3-5337de7fb235,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,82b5a48c8016f2503db39c483236c98089ba18720b496cecc9a70f694663dfcc,15fa951506f03a9eb5ed2c28484327b4435b62e9a96bdf4c0734021e007bd80b
V2,COS_CMB_001,Cosmology,Gemma 3 27B IT,PASS,OK,OK,0.8823087811470032,0.91609126329422,0.8993156552314758,776,584,566,566,192,0,True,False,45f12cf7-3772-421a-8998-b0b7ff23252b,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,8b924463051838da9b223ee2dd1c1779b1915826ae5854f60f796fea81b17cf0,15fa951506f03a9eb5ed2c28484327b4435b62e9a96bdf4c0734021e007bd80b
