benchmark_id,run_id,model_name,scenario_id,field_name,gold_value_raw,gold_value_num,model_value_raw,model_value_num,verdict,tolerance,tolerance_mode,evaluator_note,method_version
scientific_reasoning_32_v1,1,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90.0,90,90.0,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,1,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180.0,180,180.0,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,1,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.279221,127.28,127.28,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,1,Gemma 3 12B IT,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-105.441559,-105.44,-105.44,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,2,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90.0,90,90.0,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,2,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180.0,180,180.0,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,2,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.279221,127.28,127.28,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,2,Gemma 3 12B IT,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-105.441559,-105.44,-105.44,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,3,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90.0,90,90.0,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,3,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180.0,180,180.0,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,3,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.279221,127.28,127.28,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,3,Gemma 3 12B IT,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-105.441559,-127.28,-127.28,MISMATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,4,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90.0,90,90.0,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,4,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180.0,180,180.0,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,4,Gemma 3 12B IT,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.279221,127.28,127.28,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,4,Gemma 3 12B IT,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-105.441559,-105.44,-105.44,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,5,Gemma 3 27B IT,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90.0,90,90.0,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,5,Gemma 3 27B IT,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180.0,180,180.0,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,5,Gemma 3 27B IT,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.279221,127.279,127.279,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,5,Gemma 3 27B IT,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-105.441559,-105.442,-105.442,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,6,Gemma 3 27B IT,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90.0,90,90.0,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,6,Gemma 3 27B IT,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180.0,180,180.0,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,6,Gemma 3 27B IT,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.279221,127.279,127.279,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,6,Gemma 3 27B IT,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-105.441559,-105.442,-105.442,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,7,Gemma 4 31B IT,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90.0,90^\circ,90.0,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,7,Gemma 4 31B IT,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180.0,180^\circ,180.0,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,7,Gemma 4 31B IT,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.279221,127.28^\circ,127.28,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,7,Gemma 4 31B IT,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-105.441559,-105.44^\circ,-105.44,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,8,Gemma 4 31B IT,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90.0,90^\circ,90.0,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,8,Gemma 4 31B IT,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180.0,180^\circ,180.0,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,8,Gemma 4 31B IT,CM_APSIDAL_001,apsidal_n_minus1_deg,127.279221,127.279221,127.28^\circ,127.28,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,8,Gemma 4 31B IT,CM_APSIDAL_001,precession_per_period_deg,-105.441559,-105.441559,-105.44^\circ,-105.44,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,9,Granite 4.1 8B,CM_APSIDAL_001,apsidal_harmonic_deg,90.0,90.0,90,90.0,MATCH,0.01,relative,numeric,official_scenario_id_v1
scientific_reasoning_32_v1,9,Granite 4.1 8B,CM_APSIDAL_001,apsidal_kepler_deg,180.0,180.0,180,180.0,MATCH,0.01,relative,numeric,official_scenario_id_v1
