pilot_name,prompt_sequence,scenario_id,scenario_title,category,model_name,prompt,prompt_sha256
structured_prompt_pilot_v2,1,CM_FOUCAULT_001,Foucault pendulum - precession at Paris,Classical Mechanics,Gemma 3 12B IT,"Solve the following scenario.
A Foucault pendulum swings at latitude $\lambda = 48.85^\circ$ N (Paris). Treat Earth's rotation rate as $360^\circ$ per 24 h (ignore the sidereal correction).

Conventions: precession rate of the swing plane $= \Omega_E \sin\lambda$, clockwise viewed from above in the northern hemisphere.

Tasks:
1. Derive the $\sin\lambda$ factor from the vertical component of Earth's angular velocity (Coriolis effect on the swing plane).
2. Evaluate the precession rate in degrees per hour and degrees per day.
3. Evaluate the full-turn period in hours.
4. What happens at the equator and at the pole? A student uses $\cos\lambda$ - identify what physical component of $\vec\Omega_E$ they took, and why it is the wrong one for plane precession.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **The sin λ factor.** The Coriolis coupling that rotates the swing plane is the **vertical** component of Earth's angular velocity, Ω_E sin λ. (The horizontal component Ω_E cos λ tilts the local vertical; it does not precess the plane.)
2. **Rate.** Ω_E = 360°/24 h = 15°/h. sin(48.85°) = ____. Rate = 15·____ = **____°/h**; ×24 = **____°/day**.
3. **Period.** Full turn = 360°/(____°/h) = **____ h**.
4. **Limits.** Equator (λ = 0): sin λ = 0 → no precession. Pole (λ = 90°): 15°/h → 24 h period. A student using cos λ takes the horizontal component — wrong; it tilts, it does not precess the plane.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{period\_hours}        &=  \\
\mathrm{rate\_deg\_per\_day}  &=  \\
\mathrm{rate\_deg\_per\_hour} &=  \\
\end{aligned}
\]",5b21ed329c5b3588d960bb05d77b99dbc534e5b288d2d73d5b4729bafd9633f6
structured_prompt_pilot_v2,2,CM_FOUCAULT_001,Foucault pendulum - precession at Paris,Classical Mechanics,Gemma 3 27B IT,"Solve the following scenario.
A Foucault pendulum swings at latitude $\lambda = 48.85^\circ$ N (Paris). Treat Earth's rotation rate as $360^\circ$ per 24 h (ignore the sidereal correction).

Conventions: precession rate of the swing plane $= \Omega_E \sin\lambda$, clockwise viewed from above in the northern hemisphere.

Tasks:
1. Derive the $\sin\lambda$ factor from the vertical component of Earth's angular velocity (Coriolis effect on the swing plane).
2. Evaluate the precession rate in degrees per hour and degrees per day.
3. Evaluate the full-turn period in hours.
4. What happens at the equator and at the pole? A student uses $\cos\lambda$ - identify what physical component of $\vec\Omega_E$ they took, and why it is the wrong one for plane precession.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **The sin λ factor.** The Coriolis coupling that rotates the swing plane is the **vertical** component of Earth's angular velocity, Ω_E sin λ. (The horizontal component Ω_E cos λ tilts the local vertical; it does not precess the plane.)
2. **Rate.** Ω_E = 360°/24 h = 15°/h. sin(48.85°) = ____. Rate = 15·____ = **____°/h**; ×24 = **____°/day**.
3. **Period.** Full turn = 360°/(____°/h) = **____ h**.
4. **Limits.** Equator (λ = 0): sin λ = 0 → no precession. Pole (λ = 90°): 15°/h → 24 h period. A student using cos λ takes the horizontal component — wrong; it tilts, it does not precess the plane.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{period\_hours}        &=  \\
\mathrm{rate\_deg\_per\_day}  &=  \\
\mathrm{rate\_deg\_per\_hour} &=  \\
\end{aligned}
\]",5b21ed329c5b3588d960bb05d77b99dbc534e5b288d2d73d5b4729bafd9633f6
structured_prompt_pilot_v2,3,CM_FOUCAULT_001,Foucault pendulum - precession at Paris,Classical Mechanics,Gemma 4 31B IT,"Solve the following scenario.
A Foucault pendulum swings at latitude $\lambda = 48.85^\circ$ N (Paris). Treat Earth's rotation rate as $360^\circ$ per 24 h (ignore the sidereal correction).

Conventions: precession rate of the swing plane $= \Omega_E \sin\lambda$, clockwise viewed from above in the northern hemisphere.

Tasks:
1. Derive the $\sin\lambda$ factor from the vertical component of Earth's angular velocity (Coriolis effect on the swing plane).
2. Evaluate the precession rate in degrees per hour and degrees per day.
3. Evaluate the full-turn period in hours.
4. What happens at the equator and at the pole? A student uses $\cos\lambda$ - identify what physical component of $\vec\Omega_E$ they took, and why it is the wrong one for plane precession.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **The sin λ factor.** The Coriolis coupling that rotates the swing plane is the **vertical** component of Earth's angular velocity, Ω_E sin λ. (The horizontal component Ω_E cos λ tilts the local vertical; it does not precess the plane.)
2. **Rate.** Ω_E = 360°/24 h = 15°/h. sin(48.85°) = ____. Rate = 15·____ = **____°/h**; ×24 = **____°/day**.
3. **Period.** Full turn = 360°/(____°/h) = **____ h**.
4. **Limits.** Equator (λ = 0): sin λ = 0 → no precession. Pole (λ = 90°): 15°/h → 24 h period. A student using cos λ takes the horizontal component — wrong; it tilts, it does not precess the plane.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{period\_hours}        &=  \\
\mathrm{rate\_deg\_per\_day}  &=  \\
\mathrm{rate\_deg\_per\_hour} &=  \\
\end{aligned}
\]",5b21ed329c5b3588d960bb05d77b99dbc534e5b288d2d73d5b4729bafd9633f6
structured_prompt_pilot_v2,4,CM_FOUCAULT_001,Foucault pendulum - precession at Paris,Classical Mechanics,Granite 4.1 8B,"Solve the following scenario.
A Foucault pendulum swings at latitude $\lambda = 48.85^\circ$ N (Paris). Treat Earth's rotation rate as $360^\circ$ per 24 h (ignore the sidereal correction).

Conventions: precession rate of the swing plane $= \Omega_E \sin\lambda$, clockwise viewed from above in the northern hemisphere.

Tasks:
1. Derive the $\sin\lambda$ factor from the vertical component of Earth's angular velocity (Coriolis effect on the swing plane).
2. Evaluate the precession rate in degrees per hour and degrees per day.
3. Evaluate the full-turn period in hours.
4. What happens at the equator and at the pole? A student uses $\cos\lambda$ - identify what physical component of $\vec\Omega_E$ they took, and why it is the wrong one for plane precession.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **The sin λ factor.** The Coriolis coupling that rotates the swing plane is the **vertical** component of Earth's angular velocity, Ω_E sin λ. (The horizontal component Ω_E cos λ tilts the local vertical; it does not precess the plane.)
2. **Rate.** Ω_E = 360°/24 h = 15°/h. sin(48.85°) = ____. Rate = 15·____ = **____°/h**; ×24 = **____°/day**.
3. **Period.** Full turn = 360°/(____°/h) = **____ h**.
4. **Limits.** Equator (λ = 0): sin λ = 0 → no precession. Pole (λ = 90°): 15°/h → 24 h period. A student using cos λ takes the horizontal component — wrong; it tilts, it does not precess the plane.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{period\_hours}        &=  \\
\mathrm{rate\_deg\_per\_day}  &=  \\
\mathrm{rate\_deg\_per\_hour} &=  \\
\end{aligned}
\]",5b21ed329c5b3588d960bb05d77b99dbc534e5b288d2d73d5b4729bafd9633f6
structured_prompt_pilot_v2,5,CM_FOUCAULT_001,Foucault pendulum - precession at Paris,Classical Mechanics,Llama 3.1 8B Instruct,"Solve the following scenario.
A Foucault pendulum swings at latitude $\lambda = 48.85^\circ$ N (Paris). Treat Earth's rotation rate as $360^\circ$ per 24 h (ignore the sidereal correction).

Conventions: precession rate of the swing plane $= \Omega_E \sin\lambda$, clockwise viewed from above in the northern hemisphere.

Tasks:
1. Derive the $\sin\lambda$ factor from the vertical component of Earth's angular velocity (Coriolis effect on the swing plane).
2. Evaluate the precession rate in degrees per hour and degrees per day.
3. Evaluate the full-turn period in hours.
4. What happens at the equator and at the pole? A student uses $\cos\lambda$ - identify what physical component of $\vec\Omega_E$ they took, and why it is the wrong one for plane precession.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **The sin λ factor.** The Coriolis coupling that rotates the swing plane is the **vertical** component of Earth's angular velocity, Ω_E sin λ. (The horizontal component Ω_E cos λ tilts the local vertical; it does not precess the plane.)
2. **Rate.** Ω_E = 360°/24 h = 15°/h. sin(48.85°) = ____. Rate = 15·____ = **____°/h**; ×24 = **____°/day**.
3. **Period.** Full turn = 360°/(____°/h) = **____ h**.
4. **Limits.** Equator (λ = 0): sin λ = 0 → no precession. Pole (λ = 90°): 15°/h → 24 h period. A student using cos λ takes the horizontal component — wrong; it tilts, it does not precess the plane.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{period\_hours}        &=  \\
\mathrm{rate\_deg\_per\_day}  &=  \\
\mathrm{rate\_deg\_per\_hour} &=  \\
\end{aligned}
\]",5b21ed329c5b3588d960bb05d77b99dbc534e5b288d2d73d5b4729bafd9633f6
structured_prompt_pilot_v2,6,CM_FOUCAULT_001,Foucault pendulum - precession at Paris,Classical Mechanics,Ministral 3 8B,"Solve the following scenario.
A Foucault pendulum swings at latitude $\lambda = 48.85^\circ$ N (Paris). Treat Earth's rotation rate as $360^\circ$ per 24 h (ignore the sidereal correction).

Conventions: precession rate of the swing plane $= \Omega_E \sin\lambda$, clockwise viewed from above in the northern hemisphere.

Tasks:
1. Derive the $\sin\lambda$ factor from the vertical component of Earth's angular velocity (Coriolis effect on the swing plane).
2. Evaluate the precession rate in degrees per hour and degrees per day.
3. Evaluate the full-turn period in hours.
4. What happens at the equator and at the pole? A student uses $\cos\lambda$ - identify what physical component of $\vec\Omega_E$ they took, and why it is the wrong one for plane precession.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **The sin λ factor.** The Coriolis coupling that rotates the swing plane is the **vertical** component of Earth's angular velocity, Ω_E sin λ. (The horizontal component Ω_E cos λ tilts the local vertical; it does not precess the plane.)
2. **Rate.** Ω_E = 360°/24 h = 15°/h. sin(48.85°) = ____. Rate = 15·____ = **____°/h**; ×24 = **____°/day**.
3. **Period.** Full turn = 360°/(____°/h) = **____ h**.
4. **Limits.** Equator (λ = 0): sin λ = 0 → no precession. Pole (λ = 90°): 15°/h → 24 h period. A student using cos λ takes the horizontal component — wrong; it tilts, it does not precess the plane.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{period\_hours}        &=  \\
\mathrm{rate\_deg\_per\_day}  &=  \\
\mathrm{rate\_deg\_per\_hour} &=  \\
\end{aligned}
\]",5b21ed329c5b3588d960bb05d77b99dbc534e5b288d2d73d5b4729bafd9633f6
structured_prompt_pilot_v2,7,CM_FOUCAULT_001,Foucault pendulum - precession at Paris,Classical Mechanics,Mistral NeMo 12B,"Solve the following scenario.
A Foucault pendulum swings at latitude $\lambda = 48.85^\circ$ N (Paris). Treat Earth's rotation rate as $360^\circ$ per 24 h (ignore the sidereal correction).

Conventions: precession rate of the swing plane $= \Omega_E \sin\lambda$, clockwise viewed from above in the northern hemisphere.

Tasks:
1. Derive the $\sin\lambda$ factor from the vertical component of Earth's angular velocity (Coriolis effect on the swing plane).
2. Evaluate the precession rate in degrees per hour and degrees per day.
3. Evaluate the full-turn period in hours.
4. What happens at the equator and at the pole? A student uses $\cos\lambda$ - identify what physical component of $\vec\Omega_E$ they took, and why it is the wrong one for plane precession.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **The sin λ factor.** The Coriolis coupling that rotates the swing plane is the **vertical** component of Earth's angular velocity, Ω_E sin λ. (The horizontal component Ω_E cos λ tilts the local vertical; it does not precess the plane.)
2. **Rate.** Ω_E = 360°/24 h = 15°/h. sin(48.85°) = ____. Rate = 15·____ = **____°/h**; ×24 = **____°/day**.
3. **Period.** Full turn = 360°/(____°/h) = **____ h**.
4. **Limits.** Equator (λ = 0): sin λ = 0 → no precession. Pole (λ = 90°): 15°/h → 24 h period. A student using cos λ takes the horizontal component — wrong; it tilts, it does not precess the plane.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{period\_hours}        &=  \\
\mathrm{rate\_deg\_per\_day}  &=  \\
\mathrm{rate\_deg\_per\_hour} &=  \\
\end{aligned}
\]",5b21ed329c5b3588d960bb05d77b99dbc534e5b288d2d73d5b4729bafd9633f6
structured_prompt_pilot_v2,8,CM_FOUCAULT_001,Foucault pendulum - precession at Paris,Classical Mechanics,Mistral Small 3.2 24B Instruct,"Solve the following scenario.
A Foucault pendulum swings at latitude $\lambda = 48.85^\circ$ N (Paris). Treat Earth's rotation rate as $360^\circ$ per 24 h (ignore the sidereal correction).

Conventions: precession rate of the swing plane $= \Omega_E \sin\lambda$, clockwise viewed from above in the northern hemisphere.

Tasks:
1. Derive the $\sin\lambda$ factor from the vertical component of Earth's angular velocity (Coriolis effect on the swing plane).
2. Evaluate the precession rate in degrees per hour and degrees per day.
3. Evaluate the full-turn period in hours.
4. What happens at the equator and at the pole? A student uses $\cos\lambda$ - identify what physical component of $\vec\Omega_E$ they took, and why it is the wrong one for plane precession.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **The sin λ factor.** The Coriolis coupling that rotates the swing plane is the **vertical** component of Earth's angular velocity, Ω_E sin λ. (The horizontal component Ω_E cos λ tilts the local vertical; it does not precess the plane.)
2. **Rate.** Ω_E = 360°/24 h = 15°/h. sin(48.85°) = ____. Rate = 15·____ = **____°/h**; ×24 = **____°/day**.
3. **Period.** Full turn = 360°/(____°/h) = **____ h**.
4. **Limits.** Equator (λ = 0): sin λ = 0 → no precession. Pole (λ = 90°): 15°/h → 24 h period. A student using cos λ takes the horizontal component — wrong; it tilts, it does not precess the plane.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{period\_hours}        &=  \\
\mathrm{rate\_deg\_per\_day}  &=  \\
\mathrm{rate\_deg\_per\_hour} &=  \\
\end{aligned}
\]",5b21ed329c5b3588d960bb05d77b99dbc534e5b288d2d73d5b4729bafd9633f6
structured_prompt_pilot_v2,9,CM_FOUCAULT_001,Foucault pendulum - precession at Paris,Classical Mechanics,NVIDIA Nemotron 3 Nano 30B-A3B,"Solve the following scenario.
A Foucault pendulum swings at latitude $\lambda = 48.85^\circ$ N (Paris). Treat Earth's rotation rate as $360^\circ$ per 24 h (ignore the sidereal correction).

Conventions: precession rate of the swing plane $= \Omega_E \sin\lambda$, clockwise viewed from above in the northern hemisphere.

Tasks:
1. Derive the $\sin\lambda$ factor from the vertical component of Earth's angular velocity (Coriolis effect on the swing plane).
2. Evaluate the precession rate in degrees per hour and degrees per day.
3. Evaluate the full-turn period in hours.
4. What happens at the equator and at the pole? A student uses $\cos\lambda$ - identify what physical component of $\vec\Omega_E$ they took, and why it is the wrong one for plane precession.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **The sin λ factor.** The Coriolis coupling that rotates the swing plane is the **vertical** component of Earth's angular velocity, Ω_E sin λ. (The horizontal component Ω_E cos λ tilts the local vertical; it does not precess the plane.)
2. **Rate.** Ω_E = 360°/24 h = 15°/h. sin(48.85°) = ____. Rate = 15·____ = **____°/h**; ×24 = **____°/day**.
3. **Period.** Full turn = 360°/(____°/h) = **____ h**.
4. **Limits.** Equator (λ = 0): sin λ = 0 → no precession. Pole (λ = 90°): 15°/h → 24 h period. A student using cos λ takes the horizontal component — wrong; it tilts, it does not precess the plane.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{period\_hours}        &=  \\
\mathrm{rate\_deg\_per\_day}  &=  \\
\mathrm{rate\_deg\_per\_hour} &=  \\
\end{aligned}
\]",5b21ed329c5b3588d960bb05d77b99dbc534e5b288d2d73d5b4729bafd9633f6
structured_prompt_pilot_v2,10,COS_CMB_001,"CMB scaling - temperature, number, and energy densities",Cosmology,Gemma 3 12B IT,"Solve the following scenario.
The CMB today has $T_0 = 2.725$ K. Recombination occurred at redshift $z = 1100$.

Conventions: adiabatic expansion of a blackbody photon gas; report $\log_{10}$ for the density ratios (recombination relative to today).

Tasks:
1. How does the photon temperature scale with redshift? Evaluate $T$ at recombination in K.
2. How does the photon NUMBER density scale? Give $\log_{10}$ of the ratio $n(z_{rec})/n_0$.
3. How does the photon ENERGY density scale? Give $\log_{10}$ of the ratio, and explain where the extra factor of $(1+z)$ relative to number density comes from.
4. Why does the CMB remain a perfect blackbody as it redshifts, without any rethermalization?
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **Temperature.** T ∝ (1+z): T_rec = 2.725·1101 = **____ K**.
2. **Number density.** n ∝ (1+z)³: log₁₀(n_rec/n₀) = 3·log₁₀(1101) = **____**.
3. **Energy density.** u ∝ (1+z)⁴: log₁₀(u_rec/u₀) = 4·log₁₀(1101) = **____**. The extra factor of (1+z) over the number density is the **per-photon energy redshift** — each photon's energy scales as (1+z).
4. **Blackbody preserved.** T ∝ 1/a keeps the Planck spectrum form-invariant: redshifting a Planck spectrum at T yields a Planck spectrum at T/(1+z). No scattering or rethermalization is required.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{T\_rec\_K}            &=  \\
\mathrm{log10\_energy\_ratio} &=  \\
\mathrm{log10\_number\_ratio} &=  \\
\end{aligned}
\]",d11b88f97d92cf12811c5a496f913d58b8677d13e6c6bdd5a8b34dc9e2184d8b
