pilot_name,prompt_mode,prompt_sequence,scenario_id,scenario_title,category,model_id,model_label,provider,model,trial,prompt,prompt_sha256
structured_prompt_pilot_v4,structured_prompt_pilot_v4,1,CM_KAPITZA_001,Kapitza pendulum - stabilizing the inverted state,Classical Mechanics,model_gemma3_12b,Gemma 3 12B IT,OpenAI-compatible,google/gemma-3-12b-it,1,"Solve the following scenario.
A rigid pendulum of length $L = 0.200$ m hangs from a pivot that oscillates vertically with amplitude $a = 0.0200$ m at angular frequency $\omega$ (with $a \ll L$ and $\omega \gg \sqrt{g/L}$). Take $g = 9.81$ m/s$^2$.

Conventions: in the separation-of-timescales (effective-potential) treatment, the INVERTED position is stable when $a^2\omega^2 > 2 g L$.

Tasks:
1. Sketch the effective-potential derivation: split motion into slow + fast, average over the fast oscillation, and obtain the stability criterion for the inverted position.
2. Evaluate the minimum angular frequency $\omega_{min}$ in rad/s.
3. Evaluate the corresponding drive frequency $f_{min}$ in Hz.
4. Explain physically where the stabilizing 'force' comes from (the average of the fast inertial force over the swing), and why intuition based on static equilibrium fails.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **Effective potential.** Split the angle into a slow part θ̄ plus a fast driven part; averaging over one drive period gives U_eff(θ̄) = −mgL cos θ̄ + (m a²ω²/4) sin²θ̄. The inverted point θ̄ = π is a **minimum** of U_eff (hence stable) iff the curvature there is positive ⟹ **____**.
2. **Minimum frequency.** ω_min = √(2gL)/a = √(2·9.81·0.2)/0.02 = √____/0.02 = ____/0.02 = **____ rad/s**.
3. **In Hz.** f_min = ω_min/2π = ____/____ = **____ Hz**.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{f\_min\_hz}         &=  \\
\mathrm{omega\_min\_rad\_s} &=  \\
\end{aligned}
\]",ddb64e00a210fdbe8d7fc1cbe172e65ae8c00ff65ffbbe5427fb2e0374c2939e
structured_prompt_pilot_v4,structured_prompt_pilot_v4,2,CM_KAPITZA_001,Kapitza pendulum - stabilizing the inverted state,Classical Mechanics,model_gemma3_27b,Gemma 3 27B IT,OpenAI-compatible,google/gemma-3-27b-it,1,"Solve the following scenario.
A rigid pendulum of length $L = 0.200$ m hangs from a pivot that oscillates vertically with amplitude $a = 0.0200$ m at angular frequency $\omega$ (with $a \ll L$ and $\omega \gg \sqrt{g/L}$). Take $g = 9.81$ m/s$^2$.

Conventions: in the separation-of-timescales (effective-potential) treatment, the INVERTED position is stable when $a^2\omega^2 > 2 g L$.

Tasks:
1. Sketch the effective-potential derivation: split motion into slow + fast, average over the fast oscillation, and obtain the stability criterion for the inverted position.
2. Evaluate the minimum angular frequency $\omega_{min}$ in rad/s.
3. Evaluate the corresponding drive frequency $f_{min}$ in Hz.
4. Explain physically where the stabilizing 'force' comes from (the average of the fast inertial force over the swing), and why intuition based on static equilibrium fails.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **Effective potential.** Split the angle into a slow part θ̄ plus a fast driven part; averaging over one drive period gives U_eff(θ̄) = −mgL cos θ̄ + (m a²ω²/4) sin²θ̄. The inverted point θ̄ = π is a **minimum** of U_eff (hence stable) iff the curvature there is positive ⟹ **____**.
2. **Minimum frequency.** ω_min = √(2gL)/a = √(2·9.81·0.2)/0.02 = √____/0.02 = ____/0.02 = **____ rad/s**.
3. **In Hz.** f_min = ω_min/2π = ____/____ = **____ Hz**.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{f\_min\_hz}         &=  \\
\mathrm{omega\_min\_rad\_s} &=  \\
\end{aligned}
\]",ddb64e00a210fdbe8d7fc1cbe172e65ae8c00ff65ffbbe5427fb2e0374c2939e
structured_prompt_pilot_v4,structured_prompt_pilot_v4,3,CM_KAPITZA_001,Kapitza pendulum - stabilizing the inverted state,Classical Mechanics,model_gemma4_31b,Gemma 4 31B IT,OpenAI-compatible,google/gemma-4-31b-it,1,"Solve the following scenario.
A rigid pendulum of length $L = 0.200$ m hangs from a pivot that oscillates vertically with amplitude $a = 0.0200$ m at angular frequency $\omega$ (with $a \ll L$ and $\omega \gg \sqrt{g/L}$). Take $g = 9.81$ m/s$^2$.

Conventions: in the separation-of-timescales (effective-potential) treatment, the INVERTED position is stable when $a^2\omega^2 > 2 g L$.

Tasks:
1. Sketch the effective-potential derivation: split motion into slow + fast, average over the fast oscillation, and obtain the stability criterion for the inverted position.
2. Evaluate the minimum angular frequency $\omega_{min}$ in rad/s.
3. Evaluate the corresponding drive frequency $f_{min}$ in Hz.
4. Explain physically where the stabilizing 'force' comes from (the average of the fast inertial force over the swing), and why intuition based on static equilibrium fails.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **Effective potential.** Split the angle into a slow part θ̄ plus a fast driven part; averaging over one drive period gives U_eff(θ̄) = −mgL cos θ̄ + (m a²ω²/4) sin²θ̄. The inverted point θ̄ = π is a **minimum** of U_eff (hence stable) iff the curvature there is positive ⟹ **____**.
2. **Minimum frequency.** ω_min = √(2gL)/a = √(2·9.81·0.2)/0.02 = √____/0.02 = ____/0.02 = **____ rad/s**.
3. **In Hz.** f_min = ω_min/2π = ____/____ = **____ Hz**.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{f\_min\_hz}         &=  \\
\mathrm{omega\_min\_rad\_s} &=  \\
\end{aligned}
\]",ddb64e00a210fdbe8d7fc1cbe172e65ae8c00ff65ffbbe5427fb2e0374c2939e
structured_prompt_pilot_v4,structured_prompt_pilot_v4,4,CM_KAPITZA_001,Kapitza pendulum - stabilizing the inverted state,Classical Mechanics,model_granite_41_8b,Granite 4.1 8B,OpenAI-compatible,ibm-granite/granite-4.1-8b,1,"Solve the following scenario.
A rigid pendulum of length $L = 0.200$ m hangs from a pivot that oscillates vertically with amplitude $a = 0.0200$ m at angular frequency $\omega$ (with $a \ll L$ and $\omega \gg \sqrt{g/L}$). Take $g = 9.81$ m/s$^2$.

Conventions: in the separation-of-timescales (effective-potential) treatment, the INVERTED position is stable when $a^2\omega^2 > 2 g L$.

Tasks:
1. Sketch the effective-potential derivation: split motion into slow + fast, average over the fast oscillation, and obtain the stability criterion for the inverted position.
2. Evaluate the minimum angular frequency $\omega_{min}$ in rad/s.
3. Evaluate the corresponding drive frequency $f_{min}$ in Hz.
4. Explain physically where the stabilizing 'force' comes from (the average of the fast inertial force over the swing), and why intuition based on static equilibrium fails.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **Effective potential.** Split the angle into a slow part θ̄ plus a fast driven part; averaging over one drive period gives U_eff(θ̄) = −mgL cos θ̄ + (m a²ω²/4) sin²θ̄. The inverted point θ̄ = π is a **minimum** of U_eff (hence stable) iff the curvature there is positive ⟹ **____**.
2. **Minimum frequency.** ω_min = √(2gL)/a = √(2·9.81·0.2)/0.02 = √____/0.02 = ____/0.02 = **____ rad/s**.
3. **In Hz.** f_min = ω_min/2π = ____/____ = **____ Hz**.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{f\_min\_hz}         &=  \\
\mathrm{omega\_min\_rad\_s} &=  \\
\end{aligned}
\]",ddb64e00a210fdbe8d7fc1cbe172e65ae8c00ff65ffbbe5427fb2e0374c2939e
structured_prompt_pilot_v4,structured_prompt_pilot_v4,5,CM_KAPITZA_001,Kapitza pendulum - stabilizing the inverted state,Classical Mechanics,model_llama_31_8b,Llama 3.1 8B Instruct,OpenAI-compatible,meta-llama/llama-3.1-8b-instruct,1,"Solve the following scenario.
A rigid pendulum of length $L = 0.200$ m hangs from a pivot that oscillates vertically with amplitude $a = 0.0200$ m at angular frequency $\omega$ (with $a \ll L$ and $\omega \gg \sqrt{g/L}$). Take $g = 9.81$ m/s$^2$.

Conventions: in the separation-of-timescales (effective-potential) treatment, the INVERTED position is stable when $a^2\omega^2 > 2 g L$.

Tasks:
1. Sketch the effective-potential derivation: split motion into slow + fast, average over the fast oscillation, and obtain the stability criterion for the inverted position.
2. Evaluate the minimum angular frequency $\omega_{min}$ in rad/s.
3. Evaluate the corresponding drive frequency $f_{min}$ in Hz.
4. Explain physically where the stabilizing 'force' comes from (the average of the fast inertial force over the swing), and why intuition based on static equilibrium fails.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **Effective potential.** Split the angle into a slow part θ̄ plus a fast driven part; averaging over one drive period gives U_eff(θ̄) = −mgL cos θ̄ + (m a²ω²/4) sin²θ̄. The inverted point θ̄ = π is a **minimum** of U_eff (hence stable) iff the curvature there is positive ⟹ **____**.
2. **Minimum frequency.** ω_min = √(2gL)/a = √(2·9.81·0.2)/0.02 = √____/0.02 = ____/0.02 = **____ rad/s**.
3. **In Hz.** f_min = ω_min/2π = ____/____ = **____ Hz**.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{f\_min\_hz}         &=  \\
\mathrm{omega\_min\_rad\_s} &=  \\
\end{aligned}
\]",ddb64e00a210fdbe8d7fc1cbe172e65ae8c00ff65ffbbe5427fb2e0374c2939e
structured_prompt_pilot_v4,structured_prompt_pilot_v4,6,CM_KAPITZA_001,Kapitza pendulum - stabilizing the inverted state,Classical Mechanics,model_ministral_8b,Ministral 3 8B,OpenAI-compatible,mistralai/ministral-8b-2512,1,"Solve the following scenario.
A rigid pendulum of length $L = 0.200$ m hangs from a pivot that oscillates vertically with amplitude $a = 0.0200$ m at angular frequency $\omega$ (with $a \ll L$ and $\omega \gg \sqrt{g/L}$). Take $g = 9.81$ m/s$^2$.

Conventions: in the separation-of-timescales (effective-potential) treatment, the INVERTED position is stable when $a^2\omega^2 > 2 g L$.

Tasks:
1. Sketch the effective-potential derivation: split motion into slow + fast, average over the fast oscillation, and obtain the stability criterion for the inverted position.
2. Evaluate the minimum angular frequency $\omega_{min}$ in rad/s.
3. Evaluate the corresponding drive frequency $f_{min}$ in Hz.
4. Explain physically where the stabilizing 'force' comes from (the average of the fast inertial force over the swing), and why intuition based on static equilibrium fails.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **Effective potential.** Split the angle into a slow part θ̄ plus a fast driven part; averaging over one drive period gives U_eff(θ̄) = −mgL cos θ̄ + (m a²ω²/4) sin²θ̄. The inverted point θ̄ = π is a **minimum** of U_eff (hence stable) iff the curvature there is positive ⟹ **____**.
2. **Minimum frequency.** ω_min = √(2gL)/a = √(2·9.81·0.2)/0.02 = √____/0.02 = ____/0.02 = **____ rad/s**.
3. **In Hz.** f_min = ω_min/2π = ____/____ = **____ Hz**.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{f\_min\_hz}         &=  \\
\mathrm{omega\_min\_rad\_s} &=  \\
\end{aligned}
\]",ddb64e00a210fdbe8d7fc1cbe172e65ae8c00ff65ffbbe5427fb2e0374c2939e
structured_prompt_pilot_v4,structured_prompt_pilot_v4,7,CM_KAPITZA_001,Kapitza pendulum - stabilizing the inverted state,Classical Mechanics,model_mistral_nemo_12b,Mistral NeMo 12B,OpenAI-compatible,mistralai/mistral-nemo,1,"Solve the following scenario.
A rigid pendulum of length $L = 0.200$ m hangs from a pivot that oscillates vertically with amplitude $a = 0.0200$ m at angular frequency $\omega$ (with $a \ll L$ and $\omega \gg \sqrt{g/L}$). Take $g = 9.81$ m/s$^2$.

Conventions: in the separation-of-timescales (effective-potential) treatment, the INVERTED position is stable when $a^2\omega^2 > 2 g L$.

Tasks:
1. Sketch the effective-potential derivation: split motion into slow + fast, average over the fast oscillation, and obtain the stability criterion for the inverted position.
2. Evaluate the minimum angular frequency $\omega_{min}$ in rad/s.
3. Evaluate the corresponding drive frequency $f_{min}$ in Hz.
4. Explain physically where the stabilizing 'force' comes from (the average of the fast inertial force over the swing), and why intuition based on static equilibrium fails.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **Effective potential.** Split the angle into a slow part θ̄ plus a fast driven part; averaging over one drive period gives U_eff(θ̄) = −mgL cos θ̄ + (m a²ω²/4) sin²θ̄. The inverted point θ̄ = π is a **minimum** of U_eff (hence stable) iff the curvature there is positive ⟹ **____**.
2. **Minimum frequency.** ω_min = √(2gL)/a = √(2·9.81·0.2)/0.02 = √____/0.02 = ____/0.02 = **____ rad/s**.
3. **In Hz.** f_min = ω_min/2π = ____/____ = **____ Hz**.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{f\_min\_hz}         &=  \\
\mathrm{omega\_min\_rad\_s} &=  \\
\end{aligned}
\]",ddb64e00a210fdbe8d7fc1cbe172e65ae8c00ff65ffbbe5427fb2e0374c2939e
structured_prompt_pilot_v4,structured_prompt_pilot_v4,8,CM_KAPITZA_001,Kapitza pendulum - stabilizing the inverted state,Classical Mechanics,model_mistral_small_32,Mistral Small 3.2 24B Instruct,OpenAI-compatible,mistral-small-2506,1,"Solve the following scenario.
A rigid pendulum of length $L = 0.200$ m hangs from a pivot that oscillates vertically with amplitude $a = 0.0200$ m at angular frequency $\omega$ (with $a \ll L$ and $\omega \gg \sqrt{g/L}$). Take $g = 9.81$ m/s$^2$.

Conventions: in the separation-of-timescales (effective-potential) treatment, the INVERTED position is stable when $a^2\omega^2 > 2 g L$.

Tasks:
1. Sketch the effective-potential derivation: split motion into slow + fast, average over the fast oscillation, and obtain the stability criterion for the inverted position.
2. Evaluate the minimum angular frequency $\omega_{min}$ in rad/s.
3. Evaluate the corresponding drive frequency $f_{min}$ in Hz.
4. Explain physically where the stabilizing 'force' comes from (the average of the fast inertial force over the swing), and why intuition based on static equilibrium fails.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **Effective potential.** Split the angle into a slow part θ̄ plus a fast driven part; averaging over one drive period gives U_eff(θ̄) = −mgL cos θ̄ + (m a²ω²/4) sin²θ̄. The inverted point θ̄ = π is a **minimum** of U_eff (hence stable) iff the curvature there is positive ⟹ **____**.
2. **Minimum frequency.** ω_min = √(2gL)/a = √(2·9.81·0.2)/0.02 = √____/0.02 = ____/0.02 = **____ rad/s**.
3. **In Hz.** f_min = ω_min/2π = ____/____ = **____ Hz**.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{f\_min\_hz}         &=  \\
\mathrm{omega\_min\_rad\_s} &=  \\
\end{aligned}
\]",ddb64e00a210fdbe8d7fc1cbe172e65ae8c00ff65ffbbe5427fb2e0374c2939e
structured_prompt_pilot_v4,structured_prompt_pilot_v4,9,COS_DESITTER_001,de Sitter horizon - size and Gibbons-Hawking temperature,Cosmology,model_gemma3_12b,Gemma 3 12B IT,OpenAI-compatible,google/gemma-3-12b-it,1,"Solve the following scenario.
Model the far future of our universe as pure de Sitter space with $H = 70.0$ km/s/Mpc, constant.

Conventions: the de Sitter event-horizon radius is $r = c/H$; the Gibbons-Hawking temperature is $T = \hbar H/(2\pi k_B)$; report $T$ in units of $10^{-30}$ K.

Tasks:
1. Evaluate the horizon radius $c/H$ in Gpc.
2. Evaluate the Gibbons-Hawking temperature in units of $10^{-30}$ K.
3. Compare that to the CMB temperature today; after how many e-folds of expansion would a $T \propto a^{-1}$ radiation background cool below $T_{GH}$? (Give the number of e-folds, $\ln(2.725/T_{GH})$.)
4. Explain what an observer in pure de Sitter space would (in principle) detect, and the analogy to the Unruh and Hawking effects.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **Horizon radius.** r = c/H = ____×10⁸ / ____×10⁻¹⁸ = 1.32×10²⁶ m = **____ Gpc**.
2. **Gibbons–Hawking temperature.** T = ℏH/(2π k_B) = ____×10⁻³⁰ K ⟹ **____** (in 10⁻³⁰ K).
3. **e-folds to cool below T_GH.** For a T ∝ a⁻¹ radiation background, cooling from T₀ = ____ K below T_GH takes ln(T₀/T_GH) = ln(____ / ____×10⁻³⁰) = **____ e-folds**.
4. **Interpretation.** An observer in pure de Sitter sees a cosmological event horizon at c/H emitting a thermal Gibbons–Hawking bath at T_GH — analogous to Unruh (acceleration) and Hawking (surface gravity). The 2π is present; no black-hole mass formula is used.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{efolds\_to\_gh}   &=  \\
\mathrm{gh\_temp\_e30\_K} &=  \\
\mathrm{horizon\_gpc}     &=  \\
\end{aligned}
\]",c8c7e0e9e1ff599851dd612b3bcfd4e4674a13a2dea50e17ba123b2150ed85c3
structured_prompt_pilot_v4,structured_prompt_pilot_v4,10,COS_DESITTER_001,de Sitter horizon - size and Gibbons-Hawking temperature,Cosmology,model_gemma3_27b,Gemma 3 27B IT,OpenAI-compatible,google/gemma-3-27b-it,1,"Solve the following scenario.
Model the far future of our universe as pure de Sitter space with $H = 70.0$ km/s/Mpc, constant.

Conventions: the de Sitter event-horizon radius is $r = c/H$; the Gibbons-Hawking temperature is $T = \hbar H/(2\pi k_B)$; report $T$ in units of $10^{-30}$ K.

Tasks:
1. Evaluate the horizon radius $c/H$ in Gpc.
2. Evaluate the Gibbons-Hawking temperature in units of $10^{-30}$ K.
3. Compare that to the CMB temperature today; after how many e-folds of expansion would a $T \propto a^{-1}$ radiation background cool below $T_{GH}$? (Give the number of e-folds, $\ln(2.725/T_{GH})$.)
4. Explain what an observer in pure de Sitter space would (in principle) detect, and the analogy to the Unruh and Hawking effects.
Use the following answer structure. Keep the same sections and step order. Fill in the missing values by doing the calculation.
Do not copy the placeholders.
Do not add extra final-answer fields.
Do not include more than one FINAL ANSWER block.
Keep the final answer field names exactly as shown.
Keep the final answer row order exactly as shown.
**Derivation**
1. **Horizon radius.** r = c/H = ____×10⁸ / ____×10⁻¹⁸ = 1.32×10²⁶ m = **____ Gpc**.
2. **Gibbons–Hawking temperature.** T = ℏH/(2π k_B) = ____×10⁻³⁰ K ⟹ **____** (in 10⁻³⁰ K).
3. **e-folds to cool below T_GH.** For a T ∝ a⁻¹ radiation background, cooling from T₀ = ____ K below T_GH takes ln(T₀/T_GH) = ln(____ / ____×10⁻³⁰) = **____ e-folds**.
4. **Interpretation.** An observer in pure de Sitter sees a cosmological event horizon at c/H emitting a thermal Gibbons–Hawking bath at T_GH — analogous to Unruh (acceleration) and Hawking (surface gravity). The 2π is present; no black-hole mass formula is used.
**FINAL ANSWER**

\[
\begin{aligned}
\mathrm{efolds\_to\_gh}   &=  \\
\mathrm{gh\_temp\_e30\_K} &=  \\
\mathrm{horizon\_gpc}     &=  \\
\end{aligned}
\]",c8c7e0e9e1ff599851dd612b3bcfd4e4674a13a2dea50e17ba123b2150ed85c3
