run_id,model_name,scenario_id,answer_length,flag_types,severities,classification,reason,total_aligned_candidate_count,filled_final_block_count,blank_template_block_count,distinct_filled_final_block_count,chars_after_last_filled_final_block,has_repetition_after_final_block,has_blank_template_after_last_filled_block,has_multiple_distinct_filled_blocks,has_meta_discussion_after_final_block,display_span_pollution_near_final
120,Granite 4.1 8B,unknown,2751,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",1,1,0,1,3,False,False,False,False,False
121,Granite 4.1 8B,unknown,2886,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",1,1,0,1,3,False,False,False,False,False
122,Granite 4.1 8B,unknown,2912,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",1,1,0,1,3,False,False,False,False,False
181,Granite 4.1 8B,unknown,8590,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",3,1,0,1,3,False,False,False,False,False
185,Llama 3.1 8B Instruct,unknown,24938,odd_single_dollar,warning,UNUSABLE,no complete filled final-answer block found anywhere in the answer,0,0,0,0,,False,False,False,False,False
187,Ministral 3 8B,unknown,28413,unmatched_bracket_display,warning,UNUSABLE,no complete filled final-answer block found anywhere in the answer,0,0,0,0,,False,False,False,False,False
188,Ministral 3 8B,unknown,23990,unmatched_bracket_display,warning,UNUSABLE,no complete filled final-answer block found anywhere in the answer,0,0,0,0,,False,False,False,False,False
214,NVIDIA Nemotron 3 Nano 30B-A3B,unknown,32394,unmatched_environment,warning,KEEP_RECOVERABLE_WITH_WARNINGS,"filled final-answer block is recoverable (values: 45.73, -7.21, 38.52) but answer has structural pollution: 14 repeated identical filled final-answer blocks; 7 blank template block(s) elsewhere in the answer; tail repetition/looping detected after the final-answer block; meta-discussion about the answer format continues after the final-answer block",22,14,7,1,3513,True,False,False,True,False
223,Granite 4.1 8B,unknown,4588,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",2,1,0,1,3,False,False,False,False,False
224,Granite 4.1 8B,unknown,4518,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",2,1,0,1,3,False,False,False,False,False
235,NVIDIA Nemotron 3 Nano 30B-A3B,unknown,29048,unmatched_environment,warning,KEEP_RECOVERABLE_WITH_WARNINGS,"filled final-answer block is recoverable (values: 88.6, 219.9, 439.8) but answer has structural pollution: 9 repeated identical filled final-answer blocks; blank template final-answer block(s) appear after the chosen final block; meta-discussion about the answer format continues after the final-answer block",14,9,4,1,1386,False,True,False,True,False
256,NVIDIA Nemotron 3 Nano 30B-A3B,unknown,913,unmatched_bracket_display,warning,UNUSABLE,no complete filled final-answer block found anywhere in the answer,0,0,0,0,,False,False,False,False,False
286,Llama 3.1 8B Instruct,unknown,27129,odd_single_dollar,warning,UNUSABLE,"no complete filled final-answer block found anywhere in the answer; repetition/looping present, preventing resolution",0,0,0,0,,False,False,False,False,False
290,Mistral NeMo 12B,unknown,2655,odd_single_dollar;unmatched_bracket_display,warning,KEEP_RECOVERABLE_WITH_WARNINGS,"filled final-answer block is recoverable (values: 1.3 \times 10^{-3} \text{ Pa}, 3.9 \times 10^{-5} \text{ μJ/m}^2, 1.56 \times 10^{-4} \text{ Pa}) but answer has structural pollution: the stored display_math span for this block also swallowed surrounding prose",1,1,0,1,3,False,False,False,False,True
336,NVIDIA Nemotron 3 Nano 30B-A3B,unknown,2864,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",2,1,0,1,3,False,False,False,False,False
372,Granite 4.1 8B,unknown,3565,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",1,1,0,1,3,False,False,False,False,False
380,Ministral 3 8B,unknown,38889,unmatched_bracket_display,warning,UNUSABLE,no complete filled final-answer block found anywhere in the answer,0,0,0,0,,False,False,False,False,False
