scenario_id,scenario_title,total_rows,match_count,mismatch_count,not_found_count,review_count,match_rate_all_rows,match_rate_found_rows
CM_APSIDAL_001,Apsidal angle - why only two potentials close orbits,112,85,25,0,2,0.7589285714285714,0.7589285714285714
CM_FOUCAULT_001,Foucault pendulum - precession at Paris,57,39,15,3,0,0.6842105263157895,0.7222222222222222
CM_KAPITZA_001,Kapitza pendulum - stabilizing the inverted state,38,26,10,2,0,0.6842105263157895,0.7222222222222222
CM_TOP_001,Fast top - gyroscopic precession rate,54,30,24,0,0,0.5555555555555556,0.5555555555555556
COS_AGE_001,Age of the universe - Hubble time vs real ages,54,18,33,3,0,0.3333333333333333,0.35294117647058826
COS_CMB_001,"CMB scaling - temperature, number, and energy densities",57,36,19,0,2,0.631578947368421,0.631578947368421
COS_DESITTER_001,de Sitter horizon - size and Gibbons-Hawking temperature,57,20,34,3,0,0.3508771929824561,0.37037037037037035
COS_DL_001,Luminosity distance - the q0 correction that revealed dark energy,72,58,14,0,0,0.8055555555555556,0.8055555555555556
GR_CHIRP_001,GW chirp - chirp mass from f and f-dot,48,3,40,0,5,0.0625,0.0625
GR_GPS_001,GPS clock rates - gravitational vs velocity shift,57,12,42,3,0,0.21052631578947367,0.2222222222222222
GR_ISCO_001,Schwarzschild ISCO - radius and GW frequency,57,9,45,3,0,0.15789473684210525,0.16666666666666666
GR_PERI_001,Mercury perihelion precession - the 43 arcsec per century,54,26,24,0,4,0.48148148148148145,0.48148148148148145
QFT_CASIMIR_001,Casimir pressure - vacuum energy between plates,54,9,43,0,2,0.16666666666666666,0.16666666666666666
QFT_G2_001,Electron g-2 - the Schwinger term,38,37,1,0,0,0.9736842105263158,0.9736842105263158
QFT_UNRUH_001,Unruh temperature - acceleration heats the vacuum,38,17,21,0,0,0.4473684210526316,0.4473684210526316
QFT_YUKAWA_001,Yukawa range - pion mass sets the nuclear force reach,72,60,9,0,3,0.8333333333333334,0.8333333333333334
QI_CLONE_001,"Optimal universal cloning - 5/6, not 1, not 1/2",54,23,25,3,3,0.42592592592592593,0.45098039215686275
QI_HOLEVO_001,"Holevo bound - one qubit, less than one bit",57,17,29,6,5,0.2982456140350877,0.3333333333333333
QI_TELEPORT_001,Teleportation with a noisy resource - fidelity bookkeeping,57,46,10,0,1,0.8070175438596491,0.8070175438596491
QI_WERNER_001,Werner state - entanglement without nonlocality,76,60,10,0,6,0.7894736842105263,0.7894736842105263
QM_AB_001,Aharonov-Bohm - phase from an unfelt flux,57,27,30,0,0,0.47368421052631576,0.47368421052631576
QM_BERRY_001,Berry phase - spin-1/2 on a cone,38,37,1,0,0,0.9736842105263158,0.9736842105263158
QM_RT_001,Ramsauer-Townsend - transmission resonance over a well,57,23,31,3,0,0.40350877192982454,0.42592592592592593
QM_TUNNEL_001,Opaque-barrier tunneling - exponent and prefactor,72,32,36,4,0,0.4444444444444444,0.47058823529411764
SR_BELL_001,Bell spaceship paradox - proper distance and the string,57,31,23,3,0,0.543859649122807,0.5740740740740741
SR_FIZEAU_001,Fizeau drag - light in moving water,38,20,15,0,3,0.5263157894736842,0.5263157894736842
SR_ROCKET_001,Relativistic rocket - one proper year at 1 g,72,7,62,3,0,0.09722222222222222,0.10144927536231885
SR_TWIN_001,Twin paradox - Doppler bookkeeping (Bondi k-calculus),76,62,14,0,0,0.8157894736842105,0.8157894736842105
STAT_BEC_001,BEC critical temperature - where the zeta function bites,76,43,29,0,4,0.5657894736842105,0.5657894736842105
STAT_ISING_001,2D Ising - Onsager's exact Tc vs mean field,57,52,1,0,4,0.9122807017543859,0.9122807017543859
STAT_LANDAUER_001,Landauer limit - the thermodynamic cost of erasure,38,19,17,2,0,0.5,0.5277777777777778
STAT_NEGT_001,Negative temperature - population inversion done right,38,28,10,0,0,0.7368421052631579,0.7368421052631579
