scenario_id,model_name,prompt_mode,raw_helper_status,review_status,field_count,numeric_field_count,normalized_final_answer,extraction_status,deterministic_grade,numeric_match_count,numeric_total_count,failed_fields,error_tags,primary_failure_mode,output_path_or_run_id
CM_KAPITZA_001,Gemma 3 12B IT,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""f_min_hz"": ""155.9"", ""omega_min_rad_s"": ""981""}",OK,FAIL,0,2,f_min_hz;omega_min_rad_s,f_min_hz:MISMATCH;omega_min_rad_s:MISMATCH,numeric_mismatch,cf0f5553-a37e-484c-b664-53217a238526
CM_KAPITZA_001,Gemma 3 27B IT,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""f_min_hz"": ""49.85"", ""omega_min_rad_s"": ""313.2""}",OK,FAIL,0,2,f_min_hz;omega_min_rad_s,f_min_hz:MISMATCH;omega_min_rad_s:MISMATCH,numeric_mismatch,cc0939dc-5379-4225-915b-cef4d5883b59
CM_KAPITZA_001,Gemma 4 31B IT,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""f_min_hz"": ""15.764"", ""omega_min_rad_s"": ""99.045""}",OK,PASS,2,2,,,none,8c78ea06-5052-4340-9c3f-f73b2ced036e
CM_KAPITZA_001,Granite 4.1 8B,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""f_min_hz"": ""2.23"", ""omega_min_rad_s"": ""14.0""}",OK,FAIL,0,2,f_min_hz;omega_min_rad_s,f_min_hz:MISMATCH;omega_min_rad_s:MISMATCH,numeric_mismatch,297bb41a-5909-4b26-9936-dd1af5211f9c
CM_KAPITZA_001,Llama 3.1 8B Instruct,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""f_min_hz"": ""5.00"", ""omega_min_rad_s"": ""98.85""}",OK,FAIL,1,2,f_min_hz,f_min_hz:MISMATCH,numeric_mismatch,c876484e-6565-4473-8cda-3f8554755dbd
CM_KAPITZA_001,Ministral 3 8B,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""f_min_hz"": ""35.27"", ""omega_min_rad_s"": ""221.5""}",OK,FAIL,0,2,f_min_hz;omega_min_rad_s,f_min_hz:MISMATCH;omega_min_rad_s:MISMATCH,numeric_mismatch,6cf088ae-d374-4809-90c5-c1620139f384
CM_KAPITZA_001,Mistral NeMo 12B,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""f_min_hz"": ""1.56 \\text{ Hz}"", ""omega_min_rad_s"": ""9.81 \\text{ rad/s}""}",OK,FAIL,0,2,f_min_hz;omega_min_rad_s,f_min_hz:MISMATCH;omega_min_rad_s:MISMATCH,numeric_mismatch,422bb7fd-7549-43d4-9c14-1a96a2158a1a
CM_KAPITZA_001,Mistral Small 3.2 24B Instruct,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""f_min_hz"": ""157.3"", ""omega_min_rad_s"": ""990.5""}",OK,FAIL,0,2,f_min_hz;omega_min_rad_s,f_min_hz:MISMATCH;omega_min_rad_s:MISMATCH,numeric_mismatch,ec03508e-f8ed-498f-9a9c-f2bd032d5130
COS_DESITTER_001,Gemma 3 12B IT,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""efolds_to_gh"": ""13.82"", ""gh_temp_e30_K"": ""13.5"", ""horizon_gpc"": ""4.27 \\times 10^{-39}""}",OK,FAIL,0,3,efolds_to_gh;gh_temp_e30_K;horizon_gpc,efolds_to_gh:MISMATCH;gh_temp_e30_K:MISMATCH;horizon_gpc:MISMATCH,numeric_mismatch,f9c05801-ce09-4b39-8f13-c10a55d785b7
COS_DESITTER_001,Gemma 3 27B IT,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""efolds_to_gh"": ""33.5"", ""gh_temp_e30_K"": ""1.01"", ""horizon_gpc"": ""13.2""}",OK,FAIL,0,3,efolds_to_gh;gh_temp_e30_K;horizon_gpc,efolds_to_gh:MISMATCH;gh_temp_e30_K:MISMATCH;horizon_gpc:MISMATCH,numeric_mismatch,ac523904-da02-4286-b34b-441d9278b9b8
