run_id,n_trivial,n_prose,n_elided,num_categories,categories
1,2,0,0,1,TRIVIAL
2,1,0,0,1,TRIVIAL
7,0,5,0,1,PROSE
8,0,6,0,1,PROSE
14,2,0,0,1,TRIVIAL
15,6,0,0,1,TRIVIAL
16,1,0,0,1,TRIVIAL
27,0,0,2,1,ELIDED
33,1,0,0,1,TRIVIAL
37,2,0,0,1,TRIVIAL
48,2,0,0,1,TRIVIAL
49,2,0,0,1,TRIVIAL
54,0,2,0,1,PROSE
55,1,1,0,2,TRIVIAL+PROSE
56,0,3,0,1,PROSE
57,3,1,0,2,TRIVIAL+PROSE
58,3,7,0,2,TRIVIAL+PROSE
62,5,1,0,2,TRIVIAL+PROSE
63,2,1,0,2,TRIVIAL+PROSE
64,2,0,0,1,TRIVIAL
68,4,1,0,2,TRIVIAL+PROSE
69,4,1,0,2,TRIVIAL+PROSE
70,2,0,0,1,TRIVIAL
75,3,0,0,1,TRIVIAL
76,3,0,0,1,TRIVIAL
77,3,0,0,1,TRIVIAL
78,2,0,0,1,TRIVIAL
79,4,6,0,2,TRIVIAL+PROSE
82,1,0,0,1,TRIVIAL
83,1,0,0,1,TRIVIAL
84,4,0,0,1,TRIVIAL
98,1,1,0,2,TRIVIAL+PROSE
115,2,0,0,1,TRIVIAL
116,3,0,0,1,TRIVIAL
117,3,0,0,1,TRIVIAL
119,5,0,0,1,TRIVIAL
123,2,1,0,2,TRIVIAL+PROSE
129,1,0,0,1,TRIVIAL
130,3,0,0,1,TRIVIAL
131,2,0,0,1,TRIVIAL
136,3,1,0,2,TRIVIAL+PROSE
137,1,0,0,1,TRIVIAL
138,2,1,0,2,TRIVIAL+PROSE
139,3,2,0,2,TRIVIAL+PROSE
140,5,1,0,2,TRIVIAL+PROSE
145,3,4,0,2,TRIVIAL+PROSE
146,5,2,0,2,TRIVIAL+PROSE
150,1,1,0,2,TRIVIAL+PROSE
151,1,2,0,2,TRIVIAL+PROSE
152,0,1,0,1,PROSE
154,0,0,2,1,ELIDED
157,1,2,0,2,TRIVIAL+PROSE
158,1,4,0,2,TRIVIAL+PROSE
159,1,2,0,2,TRIVIAL+PROSE
160,0,3,0,1,PROSE
161,2,9,0,2,TRIVIAL+PROSE
164,0,6,0,1,PROSE
165,0,6,0,1,PROSE
166,2,8,0,2,TRIVIAL+PROSE
176,0,1,0,1,PROSE
177,0,1,0,1,PROSE
178,0,1,0,1,PROSE
179,1,2,0,2,TRIVIAL+PROSE
180,2,1,0,2,TRIVIAL+PROSE
184,0,2,0,1,PROSE
185,21,2,0,2,TRIVIAL+PROSE
186,1,2,0,2,TRIVIAL+PROSE
190,3,1,0,2,TRIVIAL+PROSE
191,2,1,0,2,TRIVIAL+PROSE
192,2,2,0,2,TRIVIAL+PROSE
196,4,0,0,1,TRIVIAL
197,4,3,0,2,TRIVIAL+PROSE
198,6,1,0,2,TRIVIAL+PROSE
199,4,1,0,2,TRIVIAL+PROSE
200,1,0,0,1,TRIVIAL
204,2,2,0,2,TRIVIAL+PROSE
205,2,0,0,1,TRIVIAL
206,3,0,0,1,TRIVIAL
211,7,0,0,1,TRIVIAL
214,0,0,3,1,ELIDED
217,6,0,0,1,TRIVIAL
218,1,1,0,2,TRIVIAL+PROSE
219,2,0,0,1,TRIVIAL
221,2,6,0,2,TRIVIAL+PROSE
225,2,1,0,2,TRIVIAL+PROSE
226,12,0,0,1,TRIVIAL
227,2,1,0,2,TRIVIAL+PROSE
231,2,0,0,1,TRIVIAL
233,1,0,0,1,TRIVIAL
235,0,0,1,1,ELIDED
238,4,0,0,1,TRIVIAL
239,6,0,0,1,TRIVIAL
240,4,0,0,1,TRIVIAL
242,1,9,0,2,TRIVIAL+PROSE
246,3,0,0,1,TRIVIAL
247,3,0,0,1,TRIVIAL
248,3,0,0,1,TRIVIAL
252,3,0,0,1,TRIVIAL
253,4,0,0,1,TRIVIAL
254,4,0,0,1,TRIVIAL
260,14,45,0,2,TRIVIAL+PROSE
261,6,3,0,2,TRIVIAL+PROSE
262,1,12,0,2,TRIVIAL+PROSE
263,4,8,0,2,TRIVIAL+PROSE
265,3,2,0,2,TRIVIAL+PROSE
266,3,3,0,2,TRIVIAL+PROSE
268,11,21,0,2,TRIVIAL+PROSE
269,10,29,0,2,TRIVIAL+PROSE
270,9,15,0,2,TRIVIAL+PROSE
271,5,2,0,2,TRIVIAL+PROSE
272,10,11,0,2,TRIVIAL+PROSE
274,0,0,2,1,ELIDED
276,1,0,0,1,TRIVIAL
277,1,0,0,1,TRIVIAL
278,2,0,0,1,TRIVIAL
279,4,0,0,1,TRIVIAL
280,4,4,0,2,TRIVIAL+PROSE
284,2,0,0,1,TRIVIAL
285,2,0,0,1,TRIVIAL
290,5,0,0,1,TRIVIAL
291,6,0,0,1,TRIVIAL
292,7,0,0,1,TRIVIAL
300,3,2,0,2,TRIVIAL+PROSE
301,6,7,0,2,TRIVIAL+PROSE
305,2,4,0,2,TRIVIAL+PROSE
306,1,2,0,2,TRIVIAL+PROSE
307,3,4,0,2,TRIVIAL+PROSE
312,3,1,0,2,TRIVIAL+PROSE
313,3,4,0,2,TRIVIAL+PROSE
315,0,0,5,1,ELIDED
318,6,1,0,2,TRIVIAL+PROSE
319,6,1,0,2,TRIVIAL+PROSE
320,6,1,0,2,TRIVIAL+PROSE
321,4,1,0,2,TRIVIAL+PROSE
322,5,1,0,2,TRIVIAL+PROSE
326,5,1,0,2,TRIVIAL+PROSE
327,4,1,0,2,TRIVIAL+PROSE
328,3,1,0,2,TRIVIAL+PROSE
332,3,3,0,2,TRIVIAL+PROSE
333,2,3,0,2,TRIVIAL+PROSE
334,4,1,0,2,TRIVIAL+PROSE
339,3,0,0,1,TRIVIAL
340,4,0,0,1,TRIVIAL
341,3,0,0,1,TRIVIAL
342,3,0,0,1,TRIVIAL
343,3,0,0,1,TRIVIAL
344,3,1,0,2,TRIVIAL+PROSE
349,3,0,0,1,TRIVIAL
350,2,0,0,1,TRIVIAL
351,2,0,0,1,TRIVIAL
352,2,0,0,1,TRIVIAL
370,2,1,0,2,TRIVIAL+PROSE
371,2,0,0,1,TRIVIAL
383,1,0,0,1,TRIVIAL
390,2,2,0,2,TRIVIAL+PROSE
391,2,3,0,2,TRIVIAL+PROSE
397,1,0,0,1,TRIVIAL
401,1,0,0,1,TRIVIAL
407,3,0,0,1,TRIVIAL
408,4,0,0,1,TRIVIAL
409,5,0,0,1,TRIVIAL
410,5,0,0,1,TRIVIAL
411,4,0,1,2,TRIVIAL+ELIDED
415,4,0,0,1,TRIVIAL
416,4,0,0,1,TRIVIAL
417,4,0,0,1,TRIVIAL
421,6,1,0,2,TRIVIAL+PROSE
422,7,0,0,1,TRIVIAL
423,5,0,0,1,TRIVIAL
428,2,0,0,1,TRIVIAL
429,1,0,0,1,TRIVIAL
430,1,0,0,1,TRIVIAL
431,4,0,0,1,TRIVIAL
432,1,0,0,1,TRIVIAL
436,1,0,0,1,TRIVIAL
437,1,1,0,2,TRIVIAL+PROSE
438,1,1,0,2,TRIVIAL+PROSE
442,1,0,0,1,TRIVIAL
443,2,0,0,1,TRIVIAL
444,2,0,0,1,TRIVIAL
449,1,0,0,1,TRIVIAL
450,1,0,0,1,TRIVIAL
451,4,0,0,1,TRIVIAL
452,2,0,0,1,TRIVIAL
453,3,1,0,2,TRIVIAL+PROSE
466,3,0,0,1,TRIVIAL
470,1,0,0,1,TRIVIAL
471,1,0,0,1,TRIVIAL
472,1,0,0,1,TRIVIAL
473,2,0,0,1,TRIVIAL
474,5,7,0,2,TRIVIAL+PROSE
484,1,0,0,1,TRIVIAL
485,1,0,0,1,TRIVIAL
486,1,0,0,1,TRIVIAL
491,4,1,0,2,TRIVIAL+PROSE
492,4,1,0,2,TRIVIAL+PROSE
493,3,1,0,2,TRIVIAL+PROSE
494,6,2,0,2,TRIVIAL+PROSE
495,7,1,0,2,TRIVIAL+PROSE
499,7,1,0,2,TRIVIAL+PROSE
500,84,1,0,2,TRIVIAL+PROSE
501,9,0,0,1,TRIVIAL
506,4,0,0,1,TRIVIAL
512,6,0,0,1,TRIVIAL
513,3,0,0,1,TRIVIAL
514,5,0,0,1,TRIVIAL
515,3,0,0,1,TRIVIAL
516,3,5,0,2,TRIVIAL+PROSE
520,11,0,0,1,TRIVIAL
521,4,0,0,1,TRIVIAL
522,4,0,0,1,TRIVIAL
526,7,0,0,1,TRIVIAL
527,3,0,0,1,TRIVIAL
528,4,0,0,1,TRIVIAL
533,1,0,0,1,TRIVIAL
534,1,0,0,1,TRIVIAL
535,1,0,0,1,TRIVIAL
537,2,2,0,2,TRIVIAL+PROSE
541,6,0,0,1,TRIVIAL
550,0,1,0,1,PROSE
554,2,0,0,1,TRIVIAL
555,2,0,0,1,TRIVIAL
556,7,0,0,1,TRIVIAL
557,4,0,0,1,TRIVIAL
558,8,0,0,1,TRIVIAL
562,10,0,0,1,TRIVIAL
563,9,0,0,1,TRIVIAL
564,5,0,0,1,TRIVIAL
568,3,0,0,1,TRIVIAL
569,4,0,0,1,TRIVIAL
570,5,0,0,1,TRIVIAL
575,2,0,0,1,TRIVIAL
576,4,0,0,1,TRIVIAL
577,3,0,0,1,TRIVIAL
578,4,0,0,1,TRIVIAL
579,2,0,0,1,TRIVIAL
580,12,17,0,2,TRIVIAL+PROSE
585,1,0,0,1,TRIVIAL
586,3,0,0,1,TRIVIAL
587,4,0,0,1,TRIVIAL
595,3,0,0,1,TRIVIAL
596,3,0,0,1,TRIVIAL
613,1,0,0,1,TRIVIAL
624,0,2,0,1,PROSE
625,0,2,0,1,PROSE
626,0,2,0,1,PROSE
627,0,6,0,1,PROSE
628,9,13,0,2,TRIVIAL+PROSE
632,2,5,0,2,TRIVIAL+PROSE
633,0,14,0,1,PROSE
634,3,8,0,2,TRIVIAL+PROSE
638,0,7,0,1,PROSE
639,4,7,0,2,TRIVIAL+PROSE
640,0,5,0,1,PROSE
645,1,2,0,2,TRIVIAL+PROSE
646,1,1,0,2,TRIVIAL+PROSE
647,1,1,0,2,TRIVIAL+PROSE
648,1,1,0,2,TRIVIAL+PROSE
649,1,8,0,2,TRIVIAL+PROSE
653,2,0,0,1,TRIVIAL
654,1,1,0,2,TRIVIAL+PROSE
655,1,1,0,2,TRIVIAL+PROSE
659,4,6,0,2,TRIVIAL+PROSE
660,1,0,0,1,TRIVIAL
661,1,1,0,2,TRIVIAL+PROSE
665,1,2,0,2,TRIVIAL+PROSE
666,1,1,0,2,TRIVIAL+PROSE
667,1,2,0,2,TRIVIAL+PROSE
668,1,2,0,2,TRIVIAL+PROSE
669,2,4,0,2,TRIVIAL+PROSE
673,0,5,0,1,PROSE
674,2,3,0,2,TRIVIAL+PROSE
675,2,10,0,2,TRIVIAL+PROSE
679,0,4,0,1,PROSE
680,1,3,0,2,TRIVIAL+PROSE
681,1,6,0,2,TRIVIAL+PROSE
688,4,1,0,2,TRIVIAL+PROSE
689,1,0,0,1,TRIVIAL
690,9,2,0,2,TRIVIAL+PROSE
694,1,0,0,1,TRIVIAL
695,1,0,0,1,TRIVIAL
696,4,0,0,1,TRIVIAL
700,2,0,0,1,TRIVIAL
701,1,0,0,1,TRIVIAL
702,2,0,0,1,TRIVIAL
