run_id,scenario_id,model_name,md_path,answer_char_length,answer_sha256
1,unknown,Gemma 3 12B IT,run_1__unknown__gemma_3_12b_it.md,2446,537ac38cc81315cf350116a6feb592ae585a99f7182df88edda7bbb0bd2541e7
2,unknown,Gemma 3 12B IT,run_2__unknown__gemma_3_12b_it.md,2570,a59edb8035c361a3cf328a9f71a38f6ef9b2fd08f7e50f940f9bb1d597f77921
3,unknown,Gemma 3 12B IT,run_3__unknown__gemma_3_12b_it.md,2712,625bfbe795f79d628ce8a0f3d22f4f65bd379653259de6dcad5058655103ec2c
4,unknown,Gemma 3 12B IT,run_4__unknown__gemma_3_12b_it.md,2583,2b706aec29f5e0a17fc99c602771cfc6ecdf9aba59c85365b8fc04feb5a07672
5,unknown,Gemma 3 27B IT,run_5__unknown__gemma_3_27b_it.md,3020,5db0a9a6c943fce3bb46ab00d39bbdde8063ddfbe501288b24aa62597ec32c63
6,unknown,Gemma 3 27B IT,run_6__unknown__gemma_3_27b_it.md,3195,4b093e34ed2d178e90688096b231d39c5aa9e57a0ee418507b62c509d001a04e
7,unknown,Gemma 4 31B IT,run_7__unknown__gemma_4_31b_it.md,2995,8b20ca3e68ed93cfe1e5d3815fd9c41ae23839f0c59daa981f13138993a16642
8,unknown,Gemma 4 31B IT,run_8__unknown__gemma_4_31b_it.md,3186,afcf77c03e20d9342fe27a56694045c050cd616b2598fbfc81f0dba19ad621b3
9,unknown,Granite 4.1 8B,run_9__unknown__granite_4_1_8b.md,3617,c96fdafa81b54b2d071ecdb43576ce838c0c9f72ca75469394489b62a363d69f
10,unknown,Granite 4.1 8B,run_10__unknown__granite_4_1_8b.md,3298,a6a595478c74089877d9b9121f8009fcbf973652de99f250e2f3bb9af3db16fe
11,unknown,Granite 4.1 8B,run_11__unknown__granite_4_1_8b.md,3239,02e69e44f7adcfe300feb7193516f4a25308ab90df192f2cfae309c7995406f8
12,unknown,Granite 4.1 8B,run_12__unknown__granite_4_1_8b.md,3436,af46a67d29cdc4e04b4006a6d43c85b1f3222c4756347ef67c2d81526c99b1df
13,unknown,Llama 3.1 8B Instruct,run_13__unknown__llama_3_1_8b_instruct.md,2033,26ab93604574744c92f24c22e586f2c8b5b24028ff8fe11272482a2f2e060d5c
14,unknown,Llama 3.1 8B Instruct,run_14__unknown__llama_3_1_8b_instruct.md,2040,127d05caaa91ef27a53fc46db7b9d9de85a551d9eddfa5bd2609b902ade744c0
15,unknown,Llama 3.1 8B Instruct,run_15__unknown__llama_3_1_8b_instruct.md,2816,253d97a594fd80f2bd627e1d4c6df0916044ea6cecb3aa2c2899cbc8f1104a44
16,unknown,Llama 3.1 8B Instruct,run_16__unknown__llama_3_1_8b_instruct.md,2142,e26a4f7e5ae6344e54763cb228baa30328d70dee887c41142ac33a3728e406af
17,unknown,Ministral 3 8B,run_17__unknown__ministral_3_8b.md,11562,5af70dc9324ea363bf4cdf4b4184d61991f5a9eb26f0b07b052e2cf048a4531f
