row_key,source_run_id,batch,scenario_id,category,model_name,deterministic_grade,deterministic_pass_binary,extraction_status,helper_status,error_tags,failed_fields,candidate_reasoning_text_sha256,reference_reasoning_text_sha256,candidate_reasoning_text_length_chars,reference_reasoning_text_length_chars,candidate_token_count,reference_token_count,lcs_token_count,rouge_l_precision,rouge_l_recall,rouge_l_f1,bertscore_full_f1,bertscore_no_final_f1,candidate_reference_length_ratio
V4|QI_HOLEVO_001|Gemma 4 31B IT|0087022b-4054-4302-90e7-1c39288b64c9,0087022b-4054-4302-90e7-1c39288b64c9,V4,QI_HOLEVO_001,Quantum Information Theory,Gemma 4 31B IT,PASS,1,OK,OK,,,19f6d372c75f03bbb787f5e072b41ad2689c86bd2ce9aa65baeeb4be6747ab54,5094be1998cfb19e5802ba269dee437b92514e87bfe9462884a58c1d7d6e597e,788,726,281,233,228,0.8113879003558719,0.9785407725321889,0.88715953307393,0.7074148654937744,0.8518898487091064,1.0509641873278237
V5|COS_AGE_001|Gemma 3 12B IT|0230819a-56b1-4d17-86d3-5f6eca9cc205,0230819a-56b1-4d17-86d3-5f6eca9cc205,V5,COS_AGE_001,Cosmology,Gemma 3 12B IT,FAIL,0,OK,OK,hubble_time_gyr:MISMATCH;lcdm_age_gyr:MISMATCH;matter_age_gyr:MISMATCH,hubble_time_gyr;lcdm_age_gyr;matter_age_gyr,f38a4d6e82079e4f2399454d55d679d2960f34a39b347284cc0fc89fc6d7192f,b644dc9d765602c3ad7096a8aa8f5bebf146df7f4708b1b8b00cef88b1dd3ed2,776,659,257,220,203,0.7898832684824902,0.9227272727272727,0.8511530398322851,0.6308503746986389,0.7928316593170166,1.1396054628224583
V2|SR_ROCKET_001|Granite 4.1 8B|03445593-5565-4d84-808b-961d8347ef18,03445593-5565-4d84-808b-961d8347ef18,V2,SR_ROCKET_001,Special Relativity,Granite 4.1 8B,FAIL,0,OK,OK,distance_ly:MISMATCH;lab_time_yr:MISMATCH,distance_ly;lab_time_yr,7963686fc45c557bd6a2fefc766118b6eb7b1b2144ea4b384592e544dc735306,cd8d32e0aae1187f760dc527a9a5d4d2071b8c1130a8427299ff0f6b0bb48f6f,2475,714,962,233,174,0.18087318087318088,0.7467811158798283,0.29121338912133893,-0.15660437941551208,-0.15660437941551208,3.4313725490196076
V4|QI_HOLEVO_001|Llama 3.1 8B Instruct|038e0394-8fac-49ea-be6a-c65b10f8f47d,038e0394-8fac-49ea-be6a-c65b10f8f47d,V4,QI_HOLEVO_001,Quantum Information Theory,Llama 3.1 8B Instruct,FAIL,0,OK,OK,avg_state_purity:MISMATCH;eigenvalue_large:MISMATCH;holevo_chi_bits:MISMATCH,avg_state_purity;eigenvalue_large;holevo_chi_bits,2cdc4ed99c7a089405c514378daad53a204696d97db26528a8390aca862bebcb,5094be1998cfb19e5802ba269dee437b92514e87bfe9462884a58c1d7d6e597e,833,726,298,233,211,0.7080536912751678,0.9055793991416309,0.7947269303201507,0.6278647780418396,0.7261034846305847,1.115702479338843
V5|QFT_YUKAWA_001|Ministral 3 8B|03a1c01a-e98f-4fee-b8b4-d5a5ebfbdc9d,03a1c01a-e98f-4fee-b8b4-d5a5ebfbdc9d,V5,QFT_YUKAWA_001,Quantum Field Theory,Ministral 3 8B,PASS,1,OK,OK,,,fcb049169dcee66b1af63359cb3eae8d587c327629a3cacf2c82a5d7cbb92c35,6372e29b580047e3f885eca014a5a3546a63acb38257aacad080fe4dba1db9f2,691,668,236,226,223,0.9449152542372882,0.9867256637168141,0.9653679653679653,0.7349982261657715,0.9759440422058105,0.9970059880239521
V4|SR_TWIN_001|Mistral NeMo 12B|063e679c-7ca5-4ff4-b22f-9e6dbfbb775f,063e679c-7ca5-4ff4-b22f-9e6dbfbb775f,V4,SR_TWIN_001,Special Relativity,Mistral NeMo 12B,FAIL,0,OK,OK,traveler_time_yr:MISMATCH,traveler_time_yr,604fba5697c67cbea65a4f3ff0a64e30028211ef764dbba271420755c887d250,6279d888734fce89bb96c5b0a953a597ba7ce248ce61323c03eda6c617c34690,879,863,260,267,243,0.9346153846153846,0.9101123595505618,0.9222011385199241,0.6853037476539612,0.914507269859314,0.9907300115874855
V2|STAT_ISING_001|Ministral 3 8B|06aa69b6-039e-4f7c-91d6-191279776ccc,06aa69b6-039e-4f7c-91d6-191279776ccc,V2,STAT_ISING_001,Statistical Mechanics,Ministral 3 8B,PASS,1,OK,OK,,,bfd2851be37f5fc7ecdb0a400d0db1cde20346c9ed6cdf05550de1e9f48fa50f,f54893f2c5bb799198e0a1e5c0c7ef8d102f11df17b7e8c8dda04218311a2b26,783,656,289,211,198,0.6851211072664359,0.9383886255924171,0.7919999999999999,0.46336933970451355,0.6288585662841797,1.1554878048780488
V2|GR_ISCO_001|Gemma 3 12B IT|0891d888-672d-4f87-bc31-5a40a8dfdd32,0891d888-672d-4f87-bc31-5a40a8dfdd32,V2,GR_ISCO_001,General Relativity,Gemma 3 12B IT,FAIL,0,OK,OK,f_gw_hz:MISMATCH;f_orbital_hz:MISMATCH;r_isco_km:MISMATCH,f_gw_hz;f_orbital_hz;r_isco_km,1d47b4bb344d7586fc82d4c1404ade3c9552599fc2e9551813260d5bf70bcd54,5813c13e68ccf339d7167a4eef853a7c550bb94cf37311d9a7f6666e9a16cfc6,944,734,325,225,210,0.6461538461538462,0.9333333333333333,0.7636363636363636,0.505449652671814,0.6008708477020264,1.2520435967302452
V3|STAT_BEC_001|Mistral NeMo 12B|08aed30b-5c92-41e7-8512-8d612ffade64,08aed30b-5c92-41e7-8512-8d612ffade64,V3,STAT_BEC_001,Statistical Mechanics,Mistral NeMo 12B,FAIL,0,OK,OK,psd_at_2tc:MISMATCH;tc_nK:MISMATCH;tc_no_zeta_nK:MISMATCH,psd_at_2tc;tc_nK;tc_no_zeta_nK,8d2a72b75c28f3831111b0db45a2f6dfb258b4ce80f95c94ffd7125fa449ce95,40ec00ed092d35687c10080e642c42818480aebcabc18383aedde1f97dac996a,588,671,309,319,291,0.941747572815534,0.9122257053291536,0.9267515923566878,0.6466352939605713,0.891615629196167,0.8390461997019374
V5|CM_TOP_001|Llama 3.1 8B Instruct|09da2552-f5c9-4b6d-a531-830e1a95ff6b,09da2552-f5c9-4b6d-a531-830e1a95ff6b,V5,CM_TOP_001,Classical Mechanics,Llama 3.1 8B Instruct,FAIL,0,OK,OK,precession_double_spin:MISMATCH;precession_period_s:MISMATCH;precession_rad_s:MISMATCH,precession_double_spin;precession_period_s;precession_rad_s,2da0fd735747fdabefe7aa2dc80578e8dc2b6ea8e05f628ebb1fe1d78087f99a,c64dd6493520586cb6113e0bde7c42dacaf5d51998b1346abed4bc5dd4669612,666,661,177,183,164,0.9265536723163842,0.8961748633879781,0.9111111111111111,0.6785714030265808,0.9233006238937378,0.9712556732223904
